學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,前一學年度錄取1年級在學學生人數(A),當學年度2年級在學學生數(B),前一學年度學生就學穩定率(%)(C)(C=B/A)
107,公立,技專校院,0047,國立高雄餐旅大學,學士班(日間),766,739,96.4800
107,公立,一般大學,0048,國立金門大學,學士班(日間),724,627,86.6000
107,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),557,478,85.8200
107,公立,技專校院,0050,國立臺中科技大學,五專,662,639,96.5300
107,公立,技專校院,0050,國立臺中科技大學,學士班(日間),1935,1854,95.8100
107,公立,技專校院,0051,國立臺北商業大學,五專,338,324,95.8600
107,公立,技專校院,0051,國立臺北商業大學,學士班(日間),904,867,95.9100
107,公立,一般大學,0052,國立屏東大學,學士班(日間),1618,1511,93.3900
107,公立,技專校院,0053,國立高雄科技大學,五專,101,100,99.0100
107,公立,技專校院,0053,國立高雄科技大學,學士班(日間),4417,4223,95.6100
107,公立,技專校院,0144,國立臺灣戲曲學院,學士班(日間),141,128,90.7800
107,公立,技專校院,0221,國立臺南護理專科學校,二專(日間),46,46,100.0000
107,公立,技專校院,0221,國立臺南護理專科學校,五專,362,358,98.9000
107,公立,技專校院,0222,國立臺東專科學校,二專(日間),300,254,84.6700
107,公立,技專校院,0222,國立臺東專科學校,五專,101,86,85.1500
107,私立,一般大學,1001,東海大學,學士班(日間),3064,2806,91.5800
107,私立,一般大學,1002,輔仁大學,學士班(日間),3920,3608,92.0400
107,私立,一般大學,1003,東吳大學,學士班(日間),2691,2426,90.1500
107,私立,一般大學,1004,中原大學,學士班(日間),2936,2757,93.9000
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),4403,4009,91.0500
107,私立,一般大學,1006,中國文化大學,學士班(日間),4543,3906,85.9800
107,私立,一般大學,1007,逢甲大學,學士班(日間),3682,3514,95.4400
107,私立,一般大學,1008,靜宜大學,學士班(日間),2485,2304,92.7200
107,私立,一般大學,1009,長庚大學,學士班(日間),1139,1054,92.5400
107,私立,一般大學,1010,元智大學,學士班(日間),1618,1526,94.3100
107,私立,一般大學,1011,中華大學學校財團法人中華大學,學士班(日間),787,700,88.9500
107,私立,一般大學,1012,大葉大學,學士班(日間),1560,1361,87.2400
107,私立,一般大學,1013,華梵大學,學士班(日間),227,160,70.4800
107,私立,一般大學,1014,義守大學,學士班(日間),2677,2364,88.3100
107,私立,一般大學,1015,世新大學,學士班(日間),2183,2002,91.7100
107,私立,一般大學,1016,銘傳大學,學士班(日間),3764,3441,91.4200
107,私立,一般大學,1017,實踐大學,學士班(日間),2511,2185,87.0200
107,私立,技專校院,1018,朝陽科技大學,學士班(日間),2604,2410,92.5500
107,私立,一般大學,1019,高雄醫學大學,學士班(日間),1138,1031,90.6000
107,私立,一般大學,1020,南華大學,學士班(日間),888,787,88.6300
107,私立,一般大學,1021,真理大學,學士班(日間),1165,957,82.1500
107,私立,一般大學,1022,大同大學,學士班(日間),861,788,91.5200
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,學士班(日間),3061,2845,92.9400
107,私立,技專校院,1024,崑山科技大學,學士班(日間),1727,1565,90.6200
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,學士班(日間),2583,2294,88.8100
107,私立,技專校院,1026,樹德科技大學,學士班(日間),1658,1477,89.0800
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,學士班(日間),603,546,90.5500
107,私立,一般大學,1028,臺北醫學大學,學士班(日間),911,833,91.4400
107,私立,一般大學,1029,中山醫學大學,學士班(日間),1291,1174,90.9400
107,私立,技專校院,1030,龍華科技大學,五專,22,21,95.4500
107,私立,技專校院,1030,龍華科技大學,學士班(日間),1519,1298,85.4500
107,私立,技專校院,1031,輔英科技大學,五專,540,522,96.6700
107,私立,技專校院,1031,輔英科技大學,學士班(日間),1680,1457,86.7300
107,私立,技專校院,1032,明新學校財團法人明新科技大學,學士班(日間),1612,1463,90.7600
107,私立,一般大學,1033,長榮大學,學士班(日間),1671,1496,89.5300
107,私立,技專校院,1034,弘光科技大學,五專,52,52,100.0000
107,私立,技專校院,1034,弘光科技大學,學士班(日間),2039,1920,94.1600
107,私立,一般大學,1035,中國醫藥大學,學士班(日間),1139,1084,95.1700
107,私立,技專校院,1036,健行學校財團法人健行科技大學,學士班(日間),1541,1307,84.8200
107,私立,技專校院,1037,正修學校財團法人正修科技大學,學士班(日間),2107,1762,83.6300
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,學士班(日間),1556,1291,82.9700
107,私立,一般大學,1039,玄奘大學,學士班(日間),562,482,85.7700
107,私立,技專校院,1040,建國科技大學,學士班(日間),989,885,89.4800
107,私立,技專校院,1041,明志科技大學,學士班(日間),864,830,96.0600
107,私立,技專校院,1042,高苑科技大學,學士班(日間),623,370,59.3900
107,私立,技專校院,1043,大仁科技大學,學士班(日間),945,815,86.2400
107,私立,技專校院,1044,聖約翰科技大學,五專,75,63,84.0000
107,私立,技專校院,1044,聖約翰科技大學,學士班(日間),547,377,68.9200
107,私立,技專校院,1045,嶺東科技大學,學士班(日間),1757,1582,90.0400
107,私立,技專校院,1046,中國科技大學,學士班(日間),1790,1561,87.2100
107,私立,技專校院,1047,中臺科技大學,學士班(日間),1392,1260,90.5200
107,私立,一般大學,1048,亞洲大學,學士班(日間),2271,2064,90.8900
107,私立,一般大學,1049,開南大學,學士班(日間),773,646,83.5700
107,私立,一般大學,1050,佛光大學,學士班(日間),658,599,91.0300
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,五專,219,205,93.6100
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,學士班(日間),2134,1903,89.1800
107,私立,技專校院,1052,遠東科技大學,學士班(日間),1007,822,81.6300
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,學士班(日間),1155,788,68.2300
107,私立,技專校院,1054,景文科技大學,學士班(日間),1116,947,84.8600
107,私立,技專校院,1055,中華醫事科技大學,二專(日間),50,37,74.0000
107,私立,技專校院,1055,中華醫事科技大學,五專,659,620,94.0800
107,私立,技專校院,1055,中華醫事科技大學,學士班(日間),1162,1064,91.5700
107,私立,技專校院,1056,東南科技大學,學士班(日間),1227,954,77.7500
107,私立,技專校院,1057,德明財經科技大學,學士班(日間),1602,1429,89.2000
107,私立,一般大學,1058,明道學校財團法人明道大學,學士班(日間),554,439,79.2400
107,私立,技專校院,1060,南開科技大學,五專,141,131,92.9100
107,私立,技專校院,1060,南開科技大學,學士班(日間),630,543,86.1900
107,私立,技專校院,1061,中華學校財團法人中華科技大學,學士班(日間),958,804,83.9200
107,私立,技專校院,1062,僑光科技大學,學士班(日間),1524,1387,91.0100
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,學士班(日間),437,355,81.2400
107,私立,技專校院,1064,美和學校財團法人美和科技大學,五專,387,357,92.2500
107,私立,技專校院,1064,美和學校財團法人美和科技大學,學士班(日間),861,767,89.0800
107,私立,技專校院,1065,吳鳳科技大學,學士班(日間),774,658,85.0100
107,私立,技專校院,1066,環球學校財團法人環球科技大學,學士班(日間),657,515,78.3900
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,學士班(日間),358,251,70.1100
107,私立,技專校院,1068,中州學校財團法人中州科技大學,學士班(日間),271,218,80.4400
107,私立,技專校院,1069,修平學校財團法人修平科技大學,學士班(日間),716,569,79.4700
107,私立,技專校院,1070,長庚學校財團法人長庚科技大學,學士班(日間),1614,1570,97.2700
107,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,五專,210,173,82.3800
107,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,學士班(日間),1685,1436,85.2200
107,私立,技專校院,1072,大華學校財團法人敏實科技大學,五專,122,98,80.3300
107,私立,技專校院,1072,大華學校財團法人敏實科技大學,學士班(日間),139,89,64.0300
107,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,五專,123,102,82.9300
107,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,學士班(日間),1321,1098,83.1200
107,私立,技專校院,1074,南榮學校財團法人南榮科技大學,五專,11,8,72.7300
107,私立,技專校院,1074,南榮學校財團法人南榮科技大學,學士班(日間),127,89,70.0800
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,五專,313,305,97.4400
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,學士班(日間),1285,1193,92.8400
107,私立,技專校院,1076,華夏學校財團法人華夏科技大學,五專,111,92,82.8800
107,私立,技專校院,1076,華夏學校財團法人華夏科技大學,學士班(日間),678,406,59.8800
107,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,五專,253,246,97.2300
107,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,學士班(日間),414,386,93.2400
107,私立,技專校院,1078,致理學校財團法人致理科技大學,五專,324,310,95.6800
107,私立,技專校院,1078,致理學校財團法人致理科技大學,學士班(日間),1563,1482,94.8200
107,私立,一般大學,1079,康寧學校財團法人康寧大學,五專,583,516,88.5100
107,私立,一般大學,1079,康寧學校財團法人康寧大學,學士班(日間),109,62,56.8800
107,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,五專,257,221,85.9900
107,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,學士班(日間),671,536,79.8800
107,私立,技專校院,1081,東方學校財團法人東方設計大學,五專,227,207,91.1900
107,私立,技專校院,1081,東方學校財團法人東方設計大學,學士班(日間),196,132,67.3500
107,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,學士班(日間),530,343,64.7200
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,二專(日間),40,36,90.0000
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,五專,194,155,79.9000
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,學士班(日間),795,664,83.5200
107,私立,一般大學,1125,中信學校財團法人中信金融管理學院,學士班(日間),151,118,78.1500
107,私立,技專校院,1148,大漢技術學院,學士班(日間),98,66,67.3500
107,私立,技專校院,1159,和春技術學院,五專,35,21,60.0000
107,私立,技專校院,1159,和春技術學院,學士班(日間),60,39,65.0000
107,私立,技專校院,1166,亞東技術學院,學士班(日間),1080,1011,93.6100
107,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,五專,64,56,87.5000
107,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,學士班(日間),356,297,83.4300
107,私立,一般大學,1176,稻江科技暨管理學院,學士班(日間),456,337,73.9000
107,私立,技專校院,1182,蘭陽技術學院,五專,69,53,76.8100
107,私立,技專校院,1182,蘭陽技術學院,學士班(日間),92,73,79.3500
107,私立,技專校院,1183,黎明技術學院,五專,104,89,85.5800
107,私立,技專校院,1183,黎明技術學院,學士班(日間),798,632,79.2000
107,私立,技專校院,1185,經國管理暨健康學院,五專,255,211,82.7500
107,私立,技專校院,1185,經國管理暨健康學院,學士班(日間),577,468,81.1100
107,私立,技專校院,1188,大同技術學院,五專,21,14,66.6700
107,私立,技專校院,1188,大同技術學院,學士班(日間),270,211,78.1500
107,私立,技專校院,1192,臺灣觀光學院,五專,15,14,93.3300
107,私立,技專校院,1192,臺灣觀光學院,學士班(日間),33,29,87.8800
107,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,學士班(日間),117,111,94.8700
107,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,學士班(日間),13,10,76.9200
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,二專(日間),17,14,82.3500
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,五專,826,769,93.1000
107,私立,技專校院,1283,仁德醫護管理專科學校,五專,1242,1172,94.3600
107,私立,技專校院,1284,樹人醫護管理專科學校,五專,1390,1288,92.6600
107,私立,技專校院,1285,慈惠醫護管理專科學校,二專(日間),68,53,77.9400
107,私立,技專校院,1285,慈惠醫護管理專科學校,五專,783,710,90.6800
107,私立,技專校院,1286,耕莘健康管理專科學校,五專,1043,983,94.2500
107,私立,技專校院,1287,敏惠醫護管理專科學校,五專,791,769,97.2200
107,私立,技專校院,1289,育英醫護管理專科學校,五專,414,394,95.1700
107,私立,技專校院,1291,聖母醫護管理專科學校,五專,558,477,85.4800
107,私立,技專校院,1292,新生醫護管理專科學校,五專,1261,1193,94.6100
107,私立,技專校院,1293,崇仁醫護管理專科學校,五專,730,681,93.2900
107,私立,宗教研修學院,1R03,臺北基督學院,學士班(日間),19,17,89.4700
107,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,學士班(日間),40,30,75.0000
107,公立,一般大學,3002,臺北市立大學,學士班(日間),1222,1101,90.1000
108,公立,一般大學,0001,國立政治大學,學士班(日間),1984,1917,96.6200
108,公立,一般大學,0002,國立清華大學,學士班(日間),1814,1737,95.7600
108,公立,一般大學,0003,國立臺灣大學,學士班(日間),3193,3072,96.2100
108,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),1693,1607,94.9200
108,公立,一般大學,0005,國立成功大學,學士班(日間),2405,2275,94.5900
108,公立,一般大學,0006,國立中興大學,學士班(日間),1762,1637,92.9100
108,公立,一般大學,0006,國立中興大學,學士班(進修),215,181,84.1900
108,公立,一般大學,0007,國立陽明交通大學,學士班(日間),1185,1141,96.2900
108,公立,一般大學,0008,國立中央大學,學士班(日間),1425,1347,94.5300
108,公立,一般大學,0009,國立中山大學,學士班(日間),1039,968,93.1700
108,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),1293,1212,93.7400
108,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),185,152,82.1600
108,公立,一般大學,0013,國立中正大學,學士班(日間),1464,1377,94.0600
108,公立,一般大學,0014,國立高雄師範大學,學士班(日間),846,783,92.5500
108,公立,一般大學,0015,國立彰化師範大學,學士班(日間),1119,1048,93.6600
108,公立,一般大學,0016,國立陽明大學,學士班(日間),363,331,91.1800
108,公立,一般大學,0017,國立臺北大學,學士班(日間),1289,1221,94.7200
108,公立,一般大學,0017,國立臺北大學,學士班(進修),532,439,82.5200
108,公立,一般大學,0018,國立嘉義大學,學士班(日間),1758,1601,91.0700
108,公立,一般大學,0018,國立嘉義大學,學士班(進修),520,431,82.8800
108,公立,一般大學,0019,國立高雄大學,學士班(日間),1037,959,92.4800
108,公立,一般大學,0019,國立高雄大學,學士班(進修),58,45,77.5900
108,公立,一般大學,0020,國立東華大學,學士班(日間),1661,1525,91.8100
108,公立,一般大學,0021,國立暨南國際大學,學士班(日間),938,892,95.1000
108,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),1251,1189,95.0400
108,公立,技專校院,0023,國立雲林科技大學,學士班(日間),1510,1470,97.3500
108,公立,技專校院,0023,國立雲林科技大學,學士班(進修),44,39,88.6400
108,公立,技專校院,0024,國立屏東科技大學,學士班(日間),1778,1648,92.6900
108,公立,技專校院,0024,國立屏東科技大學,學士班(進修),339,290,85.5500
108,公立,技專校院,0025,國立臺北科技大學,五專,32,32,100.0000
108,公立,技專校院,0025,國立臺北科技大學,學士班(日間),1391,1340,96.3300
108,公立,技專校院,0025,國立臺北科技大學,學士班(進修),501,489,97.6000
108,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),352,332,94.3200
108,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),484,457,94.4200
108,公立,一般大學,0029,國立臺灣藝術大學,學士班(進修),506,468,92.4900
108,公立,一般大學,0030,國立臺東大學,學士班(日間),867,786,90.6600
108,公立,一般大學,0030,國立臺東大學,學士班(進修),69,47,68.1200
108,公立,一般大學,0031,國立宜蘭大學,學士班(日間),1015,944,93.0000
108,公立,一般大學,0031,國立宜蘭大學,學士班(進修),104,84,80.7700
108,公立,一般大學,0032,國立聯合大學,學士班(日間),1407,1287,91.4700
108,公立,一般大學,0032,國立聯合大學,學士班(進修),356,292,82.0200
108,公立,技專校院,0033,國立虎尾科技大學,五專,52,50,96.1500
108,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),1844,1754,95.1200
108,公立,技專校院,0033,國立虎尾科技大學,學士班(進修),557,498,89.4100
108,公立,一般大學,0035,國立臺南藝術大學,學士班(日間),132,119,90.1500
108,公立,一般大學,0036,國立臺南大學,學士班(日間),899,825,91.7700
108,公立,一般大學,0036,國立臺南大學,學士班(進修),43,39,90.7000
108,公立,一般大學,0037,國立臺北教育大學,學士班(日間),774,739,95.4800
108,公立,一般大學,0039,國立臺中教育大學,學士班(日間),746,687,92.0900
108,公立,技專校院,0042,國立澎湖科技大學,五專,13,12,92.3100
108,公立,技專校院,0042,國立澎湖科技大學,學士班(日間),661,594,89.8600
108,公立,技專校院,0042,國立澎湖科技大學,學士班(進修),96,75,78.1300
108,公立,技專校院,0043,國立勤益科技大學,學士班(日間),1612,1513,93.8600
108,公立,技專校院,0043,國立勤益科技大學,學士班(進修),903,785,86.9300
108,公立,一般大學,0044,國立體育大學,學士班(日間),396,372,93.9400
108,公立,一般大學,0044,國立體育大學,學士班(進修),35,29,82.8600
108,公立,技專校院,0046,國立臺北護理健康大學,學士班(日間),1109,1051,94.7700
108,公立,技專校院,0046,國立臺北護理健康大學,學士班(進修),234,215,91.8800
108,公立,技專校院,0047,國立高雄餐旅大學,五專,52,52,100.0000
108,公立,技專校院,0047,國立高雄餐旅大學,學士班(日間),760,732,96.3200
108,公立,技專校院,0047,國立高雄餐旅大學,學士班(進修),473,419,88.5800
108,公立,一般大學,0048,國立金門大學,學士班(日間),684,622,90.9400
108,公立,一般大學,0048,國立金門大學,學士班(進修),259,204,78.7600
108,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),565,515,91.1500
108,公立,一般大學,0049,國立臺灣體育運動大學,學士班(進修),98,70,71.4300
108,公立,技專校院,0050,國立臺中科技大學,五專,715,679,94.9700
108,公立,技專校院,0050,國立臺中科技大學,學士班(日間),1941,1874,96.5500
108,公立,技專校院,0050,國立臺中科技大學,學士班(進修),761,667,87.6500
108,公立,技專校院,0051,國立臺北商業大學,五專,344,329,95.6400
108,公立,技專校院,0051,國立臺北商業大學,學士班(日間),820,797,97.2000
108,公立,技專校院,0051,國立臺北商業大學,學士班(進修),559,442,79.0700
108,公立,一般大學,0052,國立屏東大學,學士班(日間),1567,1470,93.8100
108,公立,一般大學,0052,國立屏東大學,學士班(進修),197,169,85.7900
108,公立,技專校院,0053,國立高雄科技大學,五專,227,216,95.1500
108,公立,技專校院,0053,國立高雄科技大學,學士班(日間),4352,4172,95.8600
108,公立,技專校院,0053,國立高雄科技大學,學士班(進修),1046,870,83.1700
108,公立,技專校院,0144,國立臺灣戲曲學院,學士班(日間),144,133,92.3600
108,公立,技專校院,0221,國立臺南護理專科學校,二專(日間),63,57,90.4800
108,公立,技專校院,0221,國立臺南護理專科學校,二專(進修),22,20,90.9100
108,公立,技專校院,0221,國立臺南護理專科學校,五專,361,349,96.6800
108,公立,技專校院,0222,國立臺東專科學校,二專(日間),300,272,90.6700
108,公立,技專校院,0222,國立臺東專科學校,二專(進修),55,33,60.0000
108,公立,技專校院,0222,國立臺東專科學校,五專,58,53,91.3800
108,私立,一般大學,1001,東海大學,學士班(日間),2948,2745,93.1100
108,私立,一般大學,1001,東海大學,學士班(進修),130,99,76.1500
108,私立,一般大學,1002,輔仁大學,學士班(日間),3874,3582,92.4600
108,私立,一般大學,1002,輔仁大學,學士班(進修),1058,787,74.3900
108,私立,一般大學,1003,東吳大學,學士班(日間),2622,2372,90.4700
108,私立,一般大學,1003,東吳大學,學士班(進修),226,167,73.8900
108,私立,一般大學,1004,中原大學,學士班(日間),2883,2752,95.4600
108,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),4353,3976,91.3400
108,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(進修),389,240,61.7000
108,私立,一般大學,1006,中國文化大學,學士班(日間),4598,3984,86.6500
108,私立,一般大學,1006,中國文化大學,學士班(進修),475,280,58.9500
108,私立,一般大學,1007,逢甲大學,學士班(日間),3671,3495,95.2100
108,私立,一般大學,1007,逢甲大學,學士班(進修),194,146,75.2600
108,私立,一般大學,1008,靜宜大學,學士班(日間),2476,2270,91.6800
108,私立,一般大學,1009,長庚大學,學士班(日間),1110,1029,92.7000
108,私立,一般大學,1010,元智大學,學士班(日間),1599,1508,94.3100
108,私立,一般大學,1011,中華大學學校財團法人中華大學,學士班(日間),1130,974,86.1900
108,私立,一般大學,1011,中華大學學校財團法人中華大學,學士班(進修),296,34,11.4900
108,私立,一般大學,1012,大葉大學,學士班(日間),1650,1430,86.6700
108,私立,一般大學,1012,大葉大學,學士班(進修),300,158,52.6700
108,私立,一般大學,1013,華梵大學,學士班(日間),284,229,80.6300
108,私立,一般大學,1014,義守大學,學士班(日間),2710,2398,88.4900
108,私立,一般大學,1014,義守大學,學士班(進修),577,366,63.4300
108,私立,一般大學,1015,世新大學,學士班(日間),2146,1976,92.0800
108,私立,一般大學,1015,世新大學,學士班(進修),153,114,74.5100
108,私立,一般大學,1016,銘傳大學,學士班(日間),3724,3402,91.3500
108,私立,一般大學,1017,實踐大學,學士班(日間),2548,2209,86.7000
108,私立,一般大學,1017,實踐大學,學士班(進修),509,363,71.3200
108,私立,技專校院,1018,朝陽科技大學,學士班(日間),2678,2472,92.3100
108,私立,技專校院,1018,朝陽科技大學,學士班(進修),857,583,68.0300
108,私立,一般大學,1019,高雄醫學大學,學士班(日間),1148,1046,91.1100
108,私立,一般大學,1019,高雄醫學大學,學士班(進修),13,12,92.3100
108,私立,一般大學,1020,南華大學,學士班(日間),1019,904,88.7100
108,私立,一般大學,1020,南華大學,學士班(進修),98,62,63.2700
108,私立,一般大學,1021,真理大學,學士班(日間),1503,1267,84.3000
108,私立,一般大學,1021,真理大學,學士班(進修),52,12,23.0800
108,私立,一般大學,1022,大同大學,學士班(日間),869,782,89.9900
108,私立,技專校院,1023,南臺學校財團法人南臺科技大學,五專,66,62,93.9400
108,私立,技專校院,1023,南臺學校財團法人南臺科技大學,學士班(日間),3081,2855,92.6600
108,私立,技專校院,1023,南臺學校財團法人南臺科技大學,學士班(進修),1212,957,78.9600
108,私立,技專校院,1024,崑山科技大學,學士班(日間),1819,1580,86.8600
108,私立,技專校院,1024,崑山科技大學,學士班(進修),885,557,62.9400
108,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,學士班(日間),2360,2093,88.6900
108,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,學士班(進修),918,544,59.2600
108,私立,技專校院,1026,樹德科技大學,學士班(日間),1863,1673,89.8000
108,私立,技專校院,1026,樹德科技大學,學士班(進修),828,479,57.8500
108,私立,一般大學,1027,慈濟學校財團法人慈濟大學,學士班(日間),640,599,93.5900
108,私立,一般大學,1028,臺北醫學大學,學士班(日間),895,818,91.4000
108,私立,一般大學,1029,中山醫學大學,學士班(日間),1272,1154,90.7200
108,私立,一般大學,1029,中山醫學大學,學士班(進修),38,33,86.8400
108,私立,技專校院,1030,龍華科技大學,五專,143,135,94.4100
108,私立,技專校院,1030,龍華科技大學,學士班(日間),1513,1342,88.7000
108,私立,技專校院,1030,龍華科技大學,學士班(進修),1073,718,66.9200
108,私立,技專校院,1031,輔英科技大學,五專,564,537,95.2100
108,私立,技專校院,1031,輔英科技大學,學士班(日間),1730,1528,88.3200
108,私立,技專校院,1031,輔英科技大學,學士班(進修),504,340,67.4600
108,私立,技專校院,1032,明新學校財團法人明新科技大學,二專(日間),8,8,100.0000
108,私立,技專校院,1032,明新學校財團法人明新科技大學,二專(進修),29,23,79.3100
108,私立,技專校院,1032,明新學校財團法人明新科技大學,學士班(日間),1756,1572,89.5200
108,私立,技專校院,1032,明新學校財團法人明新科技大學,學士班(進修),917,710,77.4300
108,私立,一般大學,1033,長榮大學,學士班(日間),1959,1659,84.6900
108,私立,一般大學,1033,長榮大學,學士班(進修),291,67,23.0200
108,私立,技專校院,1034,弘光科技大學,二專(進修),85,63,74.1200
108,私立,技專校院,1034,弘光科技大學,五專,54,52,96.3000
108,私立,技專校院,1034,弘光科技大學,學士班(日間),2061,1932,93.7400
108,私立,技專校院,1034,弘光科技大學,學士班(進修),1243,1017,81.8200
108,私立,一般大學,1035,中國醫藥大學,學士班(日間),1139,1087,95.4300
108,私立,技專校院,1036,健行學校財團法人健行科技大學,學士班(日間),1729,1499,86.7000
108,私立,技專校院,1036,健行學校財團法人健行科技大學,學士班(進修),1184,829,70.0200
108,私立,技專校院,1037,正修學校財團法人正修科技大學,二專(進修),183,131,71.5800
108,私立,技專校院,1037,正修學校財團法人正修科技大學,五專,66,57,86.3600
108,私立,技專校院,1037,正修學校財團法人正修科技大學,學士班(日間),2110,1873,88.7700
