,學年度,學期,設立別 ,學校類別,學校代碼,學校名稱,系所名稱,學制,校際選課人次
,101,1,公立,一般大學,1,國立政治大學,教育學系,學士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,教育學系,碩士班(日間),3
,101,1,公立,一般大學,1,國立政治大學,教育學系,博士班,2
,101,1,公立,一般大學,1,國立政治大學,華語文教學碩士學位學程,碩士班(日間),5
,101,1,公立,一般大學,1,國立政治大學,華語文教學博士學位學程,博士班,1
,101,1,公立,一般大學,1,國立政治大學,幼兒教育研究所,碩士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,中國文學系,碩士班(日間),14
,101,1,公立,一般大學,1,國立政治大學,中國文學系,博士班,5
,101,1,公立,一般大學,1,國立政治大學,英國語文學系,學士班(日間),3
,101,1,公立,一般大學,1,國立政治大學,英國語文學系,碩士班(日間),7
,101,1,公立,一般大學,1,國立政治大學,英國語文學系,博士班,2
,101,1,公立,一般大學,1,國立政治大學,阿拉伯語文學系,學士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,韓國語文學系,學士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,語言學研究所,博士班,1
,101,1,公立,一般大學,1,國立政治大學,宗教研究所,碩士班(日間),2
,101,1,公立,一般大學,1,國立政治大學,宗教研究所,博士班,5
,101,1,公立,一般大學,1,國立政治大學,歷史學系,碩士班(日間),7
,101,1,公立,一般大學,1,國立政治大學,歷史學系,博士班,4
,101,1,公立,一般大學,1,國立政治大學,台灣史研究所,碩士班(日間),6
,101,1,公立,一般大學,1,國立政治大學,台灣史研究所,博士班,1
,101,1,公立,一般大學,1,國立政治大學,哲學系,碩士班(日間),6
,101,1,公立,一般大學,1,國立政治大學,哲學系,博士班,2
,101,1,公立,一般大學,1,國立政治大學,政治學系,碩士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,政治學系,博士班,1
,101,1,公立,一般大學,1,國立政治大學,社會學系,碩士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,心理學系,學士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,心理學系,碩士班(日間),4
,101,1,公立,一般大學,1,國立政治大學,輔導與諮商碩士學位學程,碩士班(日間),2
,101,1,公立,一般大學,1,國立政治大學,東亞研究所,碩士班(日間),3
,101,1,公立,一般大學,1,國立政治大學,東亞研究所,博士班,1
,101,1,公立,一般大學,1,國立政治大學,公共行政學系,博士班,2
,101,1,公立,一般大學,1,國立政治大學,地政學系,學士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,地政學系,博士班,1
,101,1,公立,一般大學,1,國立政治大學,新聞學系,碩士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,新聞學系,博士班,1
,101,1,公立,一般大學,1,國立政治大學,廣播電視學系,學士班(日間),2
,101,1,公立,一般大學,1,國立政治大學,廣播電視學系,碩士班(日間),5
,101,1,公立,一般大學,1,國立政治大學,科技管理研究所,碩士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,法律學系,碩士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,統計學系,學士班(日間),1
,101,1,公立,一般大學,1,國立政治大學,資訊管理學系,碩士班(日間),2
,101,1,公立,一般大學,1,國立政治大學,社會工作研究所,碩士班(日間),8
,101,1,公立,一般大學,2,國立清華大學,台灣文學研究所,碩士班(日間),2
,101,1,公立,一般大學,2,國立清華大學,中國文學系,學士班(日間),1
,101,1,公立,一般大學,2,國立清華大學,中國文學系,碩士班(日間),1
,101,1,公立,一般大學,2,國立清華大學,中國文學系,博士班,3
,101,1,公立,一般大學,2,國立清華大學,外國語文學系,學士班(日間),2
,101,1,公立,一般大學,2,國立清華大學,外國語文學系,碩士班(日間),9
,101,1,公立,一般大學,2,國立清華大學,語言學研究所,博士班,3
,101,1,公立,一般大學,2,國立清華大學,歷史研究所,碩士班(日間),8
,101,1,公立,一般大學,2,國立清華大學,人類學研究所,博士班,1
,101,1,公立,一般大學,2,國立清華大學,人文社會學院學士班,學士班(日間),2
,101,1,公立,一般大學,2,國立清華大學,經濟學系,學士班(日間),16
,101,1,公立,一般大學,2,國立清華大學,社會學研究所,碩士班(日間),2
,101,1,公立,一般大學,2,國立清華大學,學習科學研究所,碩士班(日間),3
,101,1,公立,一般大學,2,國立清華大學,國際專業管理碩士班,碩士班(日間),10
,101,1,公立,一般大學,2,國立清華大學,計量財務金融學系,學士班(日間),1
,101,1,公立,一般大學,2,國立清華大學,計量財務金融學系,碩士班(日間),6
,101,1,公立,一般大學,2,國立清華大學,科技管理研究所,碩士班(日間),1
,101,1,公立,一般大學,2,國立清華大學,科技管理研究所,博士班,2
,101,1,公立,一般大學,2,國立清華大學,服務科學研究所,碩士班(日間),12
,101,1,公立,一般大學,2,國立清華大學,科技管理學院學士班,學士班(日間),3
,101,1,公立,一般大學,2,國立清華大學,科技法律研究所,碩士班(日間),1
,101,1,公立,一般大學,2,國立清華大學,生命科學系,學士班(日間),2
,101,1,公立,一般大學,2,國立清華大學,生物資訊與結構生物研究所,碩士班(日間),1
,101,1,公立,一般大學,2,國立清華大學,物理學系,學士班(日間),1
,101,1,公立,一般大學,2,國立清華大學,先進光源科技學位學程,博士班,2
,101,1,公立,一般大學,2,國立清華大學,理學院學士班,學士班(日間),1
,101,1,公立,一般大學,2,國立清華大學,數學系,學士班(日間),3
,101,1,公立,一般大學,2,國立清華大學,數學系,碩士班(日間),11
,101,1,公立,一般大學,2,國立清華大學,數學系,博士班,1
,101,1,公立,一般大學,2,國立清華大學,統計學研究所,碩士班(日間),1
,101,1,公立,一般大學,2,國立清華大學,資訊系統與應用研究所,碩士班(日間),6
,101,1,公立,一般大學,2,國立清華大學,電機工程學系,學士班(日間),4
,101,1,公立,一般大學,2,國立清華大學,電機工程學系,碩士班(日間),46
,101,1,公立,一般大學,2,國立清華大學,電機工程學系,博士班,1
,101,1,公立,一般大學,2,國立清華大學,電子工程研究所,碩士班(日間),9
,101,1,公立,一般大學,2,國立清華大學,電子工程研究所,博士班,3
,101,1,公立,一般大學,2,國立清華大學,資訊工程學系,學士班(日間),1
,101,1,公立,一般大學,2,國立清華大學,資訊工程學系,碩士班(日間),28
,101,1,公立,一般大學,2,國立清華大學,資訊工程學系,博士班,1
,101,1,公立,一般大學,2,國立清華大學,通訊工程研究所,碩士班(日間),17
,101,1,公立,一般大學,2,國立清華大學,通訊工程研究所,博士班,1
,101,1,公立,一般大學,2,國立清華大學,動力機械工程學系,學士班(日間),6
,101,1,公立,一般大學,2,國立清華大學,動力機械工程學系,碩士班(日間),13
,101,1,公立,一般大學,2,國立清華大學,動力機械工程學系,博士班,1
,101,1,公立,一般大學,2,國立清華大學,化學工程學系,學士班(日間),1
,101,1,公立,一般大學,2,國立清華大學,奈米工程與微系統研究所,博士班,4
,101,1,公立,一般大學,2,國立清華大學,工業工程與工程管理學系,學士班(日間),1
,101,1,公立,一般大學,2,國立清華大學,工業工程與工程管理學系,碩士班(日間),7
,101,1,公立,一般大學,2,國立清華大學,工業工程與工程管理學系,博士班,2
,101,1,公立,一般大學,2,國立清華大學,生醫工程與環境科學系,學士班(日間),1
,101,1,公立,一般大學,2,國立清華大學,生醫工程與環境科學系,碩士班(日間),2
,101,1,公立,一般大學,2,國立清華大學,生醫工程與環境科學系,博士班,1
,101,1,公立,一般大學,2,國立清華大學,工程與系統科學系,碩士班(日間),38
,101,1,公立,一般大學,2,國立清華大學,工程與系統科學系,博士班,8
,101,1,公立,一般大學,2,國立清華大學,工學院學士班,學士班(日間),1
,101,1,公立,一般大學,2,國立清華大學,分子醫學研究所,碩士班(日間),4
,101,1,公立,一般大學,2,國立清華大學,分子醫學研究所,博士班,1
,101,1,公立,一般大學,3,國立臺灣大學,音樂學研究所,碩士班(日間),1
,101,1,公立,一般大學,3,國立臺灣大學,戲劇學系,學士班(日間),4
,101,1,公立,一般大學,3,國立臺灣大學,臺灣文學研究所,博士班,2
,101,1,公立,一般大學,3,國立臺灣大學,中國文學系,碩士班(日間),10
,101,1,公立,一般大學,3,國立臺灣大學,中國文學系,博士班,3
,101,1,公立,一般大學,3,國立臺灣大學,外國語文學系,學士班(日間),1
,101,1,公立,一般大學,3,國立臺灣大學,外國語文學系,碩士班(日間),9
,101,1,公立,一般大學,3,國立臺灣大學,外國語文學系,博士班,1
,101,1,公立,一般大學,3,國立臺灣大學,歷史學系,學士班(日間),1
,101,1,公立,一般大學,3,國立臺灣大學,歷史學系,碩士班(日間),4
,101,1,公立,一般大學,3,國立臺灣大學,歷史學系,博士班,4
,101,1,公立,一般大學,3,國立臺灣大學,哲學系,學士班(日間),3
,101,1,公立,一般大學,3,國立臺灣大學,哲學系,碩士班(日間),2
,101,1,公立,一般大學,3,國立臺灣大學,政治學系,碩士班(日間),1
,101,1,公立,一般大學,3,國立臺灣大學,心理學系,碩士班(日間),3
,101,1,公立,一般大學,3,國立臺灣大學,地理環境資源學系,學士班(日間),3
,101,1,公立,一般大學,3,國立臺灣大學,地理環境資源學系,碩士班(日間),3
,101,1,公立,一般大學,3,國立臺灣大學,地理環境資源學系,博士班,1
,101,1,公立,一般大學,3,國立臺灣大學,電機工程學系,碩士班(日間),2
,101,1,公立,一般大學,3,國立臺灣大學,電信工程學研究所,碩士班(日間),4
,101,1,公立,一般大學,3,國立臺灣大學,電信工程學研究所,博士班,1
,101,1,公立,一般大學,3,國立臺灣大學,機械工程學系,博士班,1
,101,1,公立,一般大學,3,國立臺灣大學,土木工程學系,學士班(日間),7
,101,1,公立,一般大學,3,國立臺灣大學,建築與城鄉研究所,碩士班(日間),2
,101,1,公立,一般大學,3,國立臺灣大學,農業經濟學系,碩士班(日間),3
,101,1,公立,一般大學,3,國立臺灣大學,生物產業傳播暨發展學系,學士班(日間),2
,101,1,公立,一般大學,3,國立臺灣大學,生物產業傳播暨發展學系,博士班,1
,101,1,公立,一般大學,3,國立臺灣大學,森林環境暨資源學系,碩士班(日間),2
,101,1,公立,一般大學,3,國立臺灣大學,社會工作學系,碩士班(日間),6
,101,1,公立,一般大學,4,國立臺灣師範大學,教育學系,博士班,1
,101,1,公立,一般大學,4,國立臺灣師範大學,課程與教學研究所,碩士班(日間),2
,101,1,公立,一般大學,4,國立臺灣師範大學,教育心理與輔導學系,碩士班(日間),4
,101,1,公立,一般大學,4,國立臺灣師範大學,教育心理與輔導學系,博士班,2
,101,1,公立,一般大學,4,國立臺灣師範大學,公民教育與活動領導學系,學士班(日間),1
,101,1,公立,一般大學,4,國立臺灣師範大學,社會教育學系,學士班(日間),1
,101,1,公立,一般大學,4,國立臺灣師範大學,社會教育學系,博士班,2
,101,1,公立,一般大學,4,國立臺灣師範大學,人類發展與家庭學系,學士班(日間),3
,101,1,公立,一般大學,4,國立臺灣師範大學,工業教育學系,學士班(日間),2
,101,1,公立,一般大學,4,國立臺灣師範大學,環境教育研究所,碩士班(日間),1
,101,1,公立,一般大學,4,國立臺灣師範大學,環境教育研究所,博士班,1
,101,1,公立,一般大學,4,國立臺灣師範大學,體育學系,學士班(日間),1
,101,1,公立,一般大學,4,國立臺灣師範大學,體育學系,碩士班(日間),1
,101,1,公立,一般大學,4,國立臺灣師範大學,體育學系,博士班,10
,101,1,公立,一般大學,4,國立臺灣師範大學,健康促進與衛生教育學系,碩士班(日間),3
,101,1,公立,一般大學,4,國立臺灣師範大學,特殊教育學系,碩士班(日間),2
,101,1,公立,一般大學,4,國立臺灣師範大學,特殊教育學系,博士班,3
,101,1,公立,一般大學,4,國立臺灣師範大學,美術學系,學士班(日間),1
,101,1,公立,一般大學,4,國立臺灣師範大學,美術學系,碩士班(日間),4
,101,1,公立,一般大學,4,國立臺灣師範大學,美術學系,博士班,4
,101,1,公立,一般大學,4,國立臺灣師範大學,音樂學系,學士班(日間),4
,101,1,公立,一般大學,4,國立臺灣師範大學,音樂學系,碩士班(日間),2
,101,1,公立,一般大學,4,國立臺灣師範大學,臺灣語文學系,碩士班(日間),2
,101,1,公立,一般大學,4,國立臺灣師範大學,國文學系,學士班(日間),4
,101,1,公立,一般大學,4,國立臺灣師範大學,國文學系,碩士班(日間),6
,101,1,公立,一般大學,4,國立臺灣師範大學,國文學系,博士班,2
,101,1,公立,一般大學,4,國立臺灣師範大學,應用華語文學系,碩士班(日間),1
,101,1,公立,一般大學,4,國立臺灣師範大學,英語學系,學士班(日間),1
,101,1,公立,一般大學,4,國立臺灣師範大學,英語學系,碩士班(日間),3
,101,1,公立,一般大學,4,國立臺灣師範大學,英語學系,博士班,2
,101,1,公立,一般大學,4,國立臺灣師範大學,歷史學系,學士班(日間),1
,101,1,公立,一般大學,4,國立臺灣師範大學,歷史學系,碩士班(日間),8
,101,1,公立,一般大學,4,國立臺灣師範大學,歷史學系,博士班,1
,101,1,公立,一般大學,4,國立臺灣師範大學,地理學系,碩士班(日間),3
,101,1,公立,一般大學,4,國立臺灣師範大學,地理學系,博士班,1
,101,1,公立,一般大學,4,國立臺灣師範大學,東亞學系,碩士班(日間),1
,101,1,公立,一般大學,4,國立臺灣師範大學,歐洲文化與觀光研究所,碩士班(日間),4
,101,1,公立,一般大學,4,國立臺灣師範大學,企業管理學士學位學程,學士班(日間),3
,101,1,公立,一般大學,4,國立臺灣師範大學,生命科學系,學士班(日間),1
,101,1,公立,一般大學,4,國立臺灣師範大學,生命科學系,碩士班(日間),4
,101,1,公立,一般大學,4,國立臺灣師範大學,生命科學系,博士班,3
,101,1,公立,一般大學,4,國立臺灣師範大學,數學系,學士班(日間),1
,101,1,公立,一般大學,4,國立臺灣師範大學,資訊工程學系,碩士班(日間),6
,101,1,公立,一般大學,4,國立臺灣師範大學,應用電子科技學系,學士班(日間),4
,101,1,公立,一般大學,4,國立臺灣師範大學,應用電子科技學系,碩士班(日間),3
,101,1,公立,一般大學,4,國立臺灣師範大學,機電科技學系,學士班(日間),1
,101,1,公立,一般大學,4,國立臺灣師範大學,機電科技學系,碩士班(日間),7
,101,1,公立,一般大學,4,國立臺灣師範大學,社會工作學研究所,碩士班(日間),4
,101,1,公立,一般大學,4,國立臺灣師範大學,運動休閒與餐旅管理研究所,碩士班(日間),7
,101,1,公立,一般大學,5,國立成功大學,教育研究所,碩士班(日間),2
,101,1,公立,一般大學,5,國立成功大學,教育研究所,博士班,1
,101,1,公立,一般大學,5,國立成功大學,藝術研究所,碩士班(日間),3
,101,1,公立,一般大學,5,國立成功大學,台灣文學系,碩士班(日間),1
,101,1,公立,一般大學,5,國立成功大學,台灣文學系,博士班,1
,101,1,公立,一般大學,5,國立成功大學,中國文學系,學士班(日間),3
,101,1,公立,一般大學,5,國立成功大學,中國文學系,碩士班(日間),5
,101,1,公立,一般大學,5,國立成功大學,中國文學系,博士班,2
,101,1,公立,一般大學,5,國立成功大學,外國語文學系,學士班(日間),2
,101,1,公立,一般大學,5,國立成功大學,外國語文學系,碩士班(日間),7
,101,1,公立,一般大學,5,國立成功大學,歷史學系,學士班(日間),2
,101,1,公立,一般大學,5,國立成功大學,歷史學系,碩士班(日間),2
,101,1,公立,一般大學,5,國立成功大學,創意產業設計研究所,碩士班(日間),1
,101,1,公立,一般大學,5,國立成功大學,工業設計學系,學士班(日間),3
,101,1,公立,一般大學,5,國立成功大學,工業設計學系,博士班,1
,101,1,公立,一般大學,5,國立成功大學,經濟學系,學士班(日間),1
,101,1,公立,一般大學,5,國立成功大學,政治經濟學研究所,碩士班(日間),1
,101,1,公立,一般大學,5,國立成功大學,政治經濟學研究所,博士班,2
,101,1,公立,一般大學,5,國立成功大學,心理學系(認知科學),碩士班(日間),4
,101,1,公立,一般大學,5,國立成功大學,工業與資訊管理學系,碩士班(日間),1
,101,1,公立,一般大學,5,國立成功大學,生命科學系,學士班(日間),3
,101,1,公立,一般大學,5,國立成功大學,生命科學系,碩士班(日間),2
,101,1,公立,一般大學,5,國立成功大學,化學系,學士班(日間),1
,101,1,公立,一般大學,5,國立成功大學,地球科學系,碩士班(日間),4
,101,1,公立,一般大學,5,國立成功大學,物理學系,碩士班(日間),1
,101,1,公立,一般大學,5,國立成功大學,數學系,學士班(日間),1
,101,1,公立,一般大學,5,國立成功大學,統計學系,學士班(日間),1
,101,1,公立,一般大學,5,國立成功大學,電機工程學系,碩士班(日間),1
,101,1,公立,一般大學,5,國立成功大學,電腦與通信工程研究所,碩士班(日間),1
,101,1,公立,一般大學,5,國立成功大學,製造資訊與系統研究所,碩士班(日間),1
,101,1,公立,一般大學,5,國立成功大學,製造資訊與系統研究所,博士班,1
,101,1,公立,一般大學,5,國立成功大學,土木工程學系,碩士班(日間),8
,101,1,公立,一般大學,5,國立成功大學,材料科學及工程學系,碩士班(日間),3
,101,1,公立,一般大學,5,國立成功大學,資源工程學系,碩士班(日間),2
,101,1,公立,一般大學,5,國立成功大學,生物醫學工程學系,碩士班(日間),1
,101,1,公立,一般大學,5,國立成功大學,工程科學系,學士班(日間),1
,101,1,公立,一般大學,5,國立成功大學,工程科學系,碩士班(日間),1
,101,1,公立,一般大學,5,國立成功大學,建築學系,學士班(日間),1
,101,1,公立,一般大學,5,國立成功大學,建築學系,碩士班(日間),2
,101,1,公立,一般大學,5,國立成功大學,建築學系,博士班,2
,101,1,公立,一般大學,5,國立成功大學,醫學系,學士班(日間),2
,101,1,公立,一般大學,5,國立成功大學,物理治療學系,學士班(日間),1
,101,1,公立,一般大學,5,國立成功大學,職能治療學系,學士班(日間),3
,101,1,公立,一般大學,5,國立成功大學,醫學檢驗生物技術學系,學士班(日間),1
,101,1,公立,一般大學,6,國立中興大學,教師專業發展研究所,碩士班(日間),1
,101,1,公立,一般大學,6,國立中興大學,中國文學系,學士班(日間),2
,101,1,公立,一般大學,6,國立中興大學,中國文學系,碩士班(日間),1
,101,1,公立,一般大學,6,國立中興大學,中國文學系,博士班,1
,101,1,公立,一般大學,6,國立中興大學,外國語文學系,學士班(日間),2
,101,1,公立,一般大學,6,國立中興大學,歷史學系,學士班(日間),4
,101,1,公立,一般大學,6,國立中興大學,歷史學系,博士班,4
,101,1,公立,一般大學,6,國立中興大學,應用經濟學系,碩士班(日間),1
,101,1,公立,一般大學,6,國立中興大學,應用經濟學系,博士班,3
,101,1,公立,一般大學,6,國立中興大學,財務金融學系,學士班(日間),9
,101,1,公立,一般大學,6,國立中興大學,行銷學系,碩士班(日間),3
,101,1,公立,一般大學,6,國立中興大學,法律學系,學士班(日間),1
,101,1,公立,一般大學,6,國立中興大學,生命科學系,學士班(日間),2
,101,1,公立,一般大學,6,國立中興大學,生物科技學研究所,碩士班(日間),2
,101,1,公立,一般大學,6,國立中興大學,生物科技學研究所,博士班,1
,101,1,公立,一般大學,6,國立中興大學,物理學系,學士班(日間),1
,101,1,公立,一般大學,6,國立中興大學,資訊科學與工程學系,博士班,2
,101,1,公立,一般大學,6,國立中興大學,土木工程學系,學士班(日間),1
,101,1,公立,一般大學,6,國立中興大學,食品暨應用生物科技學系,碩士班(日間),3
,101,1,公立,一般大學,6,國立中興大學,食品暨應用生物科技學系,博士班,1
,101,1,公立,一般大學,6,國立中興大學,水土保持學系,博士班,1
,101,1,公立,一般大學,7,國立交通大學,教育研究所,碩士班(日間),13
,101,1,公立,一般大學,7,國立交通大學,教育研究所,博士班,2
,101,1,公立,一般大學,7,國立交通大學,英語教學研究所,碩士班(日間),6
,101,1,公立,一般大學,7,國立交通大學,音樂研究所,碩士班(日間),5
,101,1,公立,一般大學,7,國立交通大學,應用藝術研究所,碩士班(日間),1
,101,1,公立,一般大學,7,國立交通大學,外國語文學系,學士班(日間),22
,101,1,公立,一般大學,7,國立交通大學,外國語文學系(外國文學與語言學）,碩士班(日間),11
,101,1,公立,一般大學,7,國立交通大學,人文社會學系,學士班(日間),7
,101,1,公立,一般大學,7,國立交通大學,社會與文化研究所,碩士班(日間),4
,101,1,公立,一般大學,7,國立交通大學,社會與文化研究所,博士班,2
,101,1,公立,一般大學,7,國立交通大學,人文社會學系(族群與文化）,碩士班(日間),7
,101,1,公立,一般大學,7,國立交通大學,傳播研究所,碩士班(日間),2
,101,1,公立,一般大學,7,國立交通大學,傳播與科技學系,學士班(日間),11
,101,1,公立,一般大學,7,國立交通大學,企業管理碩士學位學程,碩士班(日間),5
,101,1,公立,一般大學,7,國立交通大學,經營管理研究所,碩士班(日間),3
,101,1,公立,一般大學,7,國立交通大學,管理科學系,學士班(日間),16
,101,1,公立,一般大學,7,國立交通大學,管理科學系,碩士班(日間),4
,101,1,公立,一般大學,7,國立交通大學,財務金融研究所,碩士班(日間),1
,101,1,公立,一般大學,7,國立交通大學,資訊與財金管理學系,學士班(日間),7
,101,1,公立,一般大學,7,國立交通大學,生物科技學系,學士班(日間),7
,101,1,公立,一般大學,7,國立交通大學,生物科技學系,碩士班(日間),2
,101,1,公立,一般大學,7,國立交通大學,應用化學系,學士班(日間),11
,101,1,公立,一般大學,7,國立交通大學,應用化學系,碩士班(日間),16
,101,1,公立,一般大學,7,國立交通大學,電子物理學系,學士班(日間),10
,101,1,公立,一般大學,7,國立交通大學,應用數學系,學士班(日間),8
,101,1,公立,一般大學,7,國立交通大學,應用數學系,碩士班(日間),5
,101,1,公立,一般大學,7,國立交通大學,應用數學系,博士班,1
,101,1,公立,一般大學,7,國立交通大學,統計學研究所,碩士班(日間),16
,101,1,公立,一般大學,7,國立交通大學,統計學研究所,博士班,7
,101,1,公立,一般大學,7,國立交通大學,資訊管理研究所,碩士班(日間),8
,101,1,公立,一般大學,7,國立交通大學,多媒體工程研究所,碩士班(日間),2
,101,1,公立,一般大學,7,國立交通大學,電機工程學系,學士班(日間),5
,101,1,公立,一般大學,7,國立交通大學,電子工程學系,學士班(日間),5
,101,1,公立,一般大學,7,國立交通大學,電子研究所,碩士班(日間),4
,101,1,公立,一般大學,7,國立交通大學,光電工程學系,學士班(日間),2
,101,1,公立,一般大學,7,國立交通大學,資訊工程學系,學士班(日間),14
,101,1,公立,一般大學,7,國立交通大學,網路工程研究所,碩士班(日間),5
,101,1,公立,一般大學,7,國立交通大學,資訊科學與工程研究所,碩士班(日間),4
,101,1,公立,一般大學,7,國立交通大學,資訊科學與工程研究所,博士班,3
,101,1,公立,一般大學,7,國立交通大學,電信工程研究所,碩士班(日間),7
,101,1,公立,一般大學,7,國立交通大學,平面顯示技術碩士學位學程(與電機學院跨院辦理）,碩士在職專班,1
,101,1,公立,一般大學,7,國立交通大學,電控工程研究所,碩士班(日間),4
,101,1,公立,一般大學,7,國立交通大學,電控工程研究所,博士班,1
,101,1,公立,一般大學,7,國立交通大學,電機資訊學士班(與資訊學院跨院辦理）,學士班(日間),2
,101,1,公立,一般大學,7,國立交通大學,電機資訊國際學位學程(與資訊學院跨院辦理）,碩士班(日間),1
,101,1,公立,一般大學,7,國立交通大學,機械工程學系,學士班(日間),4
,101,1,公立,一般大學,7,國立交通大學,機械工程學系,碩士班(日間),39
,101,1,公立,一般大學,7,國立交通大學,機械工程學系,博士班,14
,101,1,公立,一般大學,7,國立交通大學,土木工程學系,學士班(日間),3
,101,1,公立,一般大學,7,國立交通大學,土木工程學系,碩士班(日間),10
,101,1,公立,一般大學,7,國立交通大學,土木工程學系,博士班,1
,101,1,公立,一般大學,7,國立交通大學,材料科學與工程學系,學士班(日間),3
,101,1,公立,一般大學,7,國立交通大學,工業工程與管理學系,學士班(日間),3
,101,1,公立,一般大學,7,國立交通大學,工業工程與管理學系,碩士班(日間),6
,101,1,公立,一般大學,7,國立交通大學,環境工程研究所,碩士班(日間),2
,101,1,公立,一般大學,7,國立交通大學,影像與生醫光電研究所,碩士班(日間),2
,101,1,公立,一般大學,7,國立交通大學,聲音與音樂創意科技碩士學位學程(與電機、工、人文社會學院跨院辦理）,碩士班(日間),3
,101,1,公立,一般大學,7,國立交通大學,運輸科技與管理學系,學士班(日間),4
,101,1,公立,一般大學,8,國立中央大學,藝術學研究所,碩士班(日間),5
,101,1,公立,一般大學,8,國立中央大學,中國文學系,碩士班(日間),2
,101,1,公立,一般大學,8,國立中央大學,中國文學系,博士班,15
,101,1,公立,一般大學,8,國立中央大學,英美語文學系,學士班(日間),2
,101,1,公立,一般大學,8,國立中央大學,法國語文學系,碩士班(日間),3
,101,1,公立,一般大學,8,國立中央大學,哲學研究所,博士班,1
,101,1,公立,一般大學,8,國立中央大學,經濟學系,學士班(日間),1
,101,1,公立,一般大學,8,國立中央大學,英語商業管理碩士學位學程,碩士班(日間),7
,101,1,公立,一般大學,8,國立中央大學,企業管理學系,碩士班(日間),4
,101,1,公立,一般大學,8,國立中央大學,營建管理研究所,碩士班(日間),1
,101,1,公立,一般大學,8,國立中央大學,營建管理研究所,博士班,1
,101,1,公立,一般大學,8,國立中央大學,生命科學系,學士班(日間),2
,101,1,公立,一般大學,8,國立中央大學,生命科學系,博士班,1
,101,1,公立,一般大學,8,國立中央大學,應用地質研究所,博士班,1
,101,1,公立,一般大學,8,國立中央大學,地球系統科學國際研究生博士學位學程,博士班,1
,101,1,公立,一般大學,8,國立中央大學,物理學系,學士班(日間),1
,101,1,公立,一般大學,8,國立中央大學,生物物理研究所,碩士班(日間),1
,101,1,公立,一般大學,8,國立中央大學,理學院學士班,學士班(日間),2
,101,1,公立,一般大學,8,國立中央大學,數學系,碩士班(日間),3
,101,1,公立,一般大學,8,國立中央大學,資訊管理學系,碩士班(日間),1
,101,1,公立,一般大學,8,國立中央大學,軟體工程研究所,碩士班(日間),1
,101,1,公立,一般大學,8,國立中央大學,電機工程學系,碩士班(日間),3
,101,1,公立,一般大學,8,國立中央大學,電機工程學系,博士班,5
,101,1,公立,一般大學,8,國立中央大學,光電科學與工程學系,學士班(日間),2
,101,1,公立,一般大學,8,國立中央大學,資訊工程學系,學士班(日間),1
,101,1,公立,一般大學,8,國立中央大學,資訊工程學系,碩士班(日間),2
,101,1,公立,一般大學,8,國立中央大學,資訊工程學系,博士班,1
,101,1,公立,一般大學,8,國立中央大學,通訊工程學系,學士班(日間),2
,101,1,公立,一般大學,8,國立中央大學,通訊工程學系,碩士班(日間),3
,101,1,公立,一般大學,8,國立中央大學,機械工程學系,學士班(日間),1
,101,1,公立,一般大學,8,國立中央大學,機械工程學系,碩士班(日間),1
,101,1,公立,一般大學,8,國立中央大學,機械工程學系,博士班,1
,101,1,公立,一般大學,8,國立中央大學,土木工程學系,碩士班(日間),2
,101,1,公立,一般大學,8,國立中央大學,土木工程學系,博士班,2
,101,1,公立,一般大學,8,國立中央大學,化學工程與材料工程學系,碩士班(日間),1
,101,1,公立,一般大學,9,國立中山大學,音樂學系,學士班(日間),22
,101,1,公立,一般大學,9,國立中山大學,音樂學系,碩士班(日間),6
,101,1,公立,一般大學,9,國立中山大學,劇場藝術學系,學士班(日間),2
,101,1,公立,一般大學,9,國立中山大學,劇場藝術學系,碩士班(日間),4
,101,1,公立,一般大學,9,國立中山大學,中國文學系,學士班(日間),2
,101,1,公立,一般大學,9,國立中山大學,中國文學系,碩士班(日間),5
,101,1,公立,一般大學,9,國立中山大學,中國文學系,博士班,3
,101,1,公立,一般大學,9,國立中山大學,外國語文學系,學士班(日間),9
,101,1,公立,一般大學,9,國立中山大學,政治經濟學系,學士班(日間),3
,101,1,公立,一般大學,9,國立中山大學,公共事務管理研究所,碩士班(日間),1
,101,1,公立,一般大學,9,國立中山大學,企業管理學系,學士班(日間),10
,101,1,公立,一般大學,9,國立中山大學,企業管理學系,博士班,1
,101,1,公立,一般大學,9,國立中山大學,財務管理學系,學士班(日間),2
,101,1,公立,一般大學,9,國立中山大學,財務管理學系,碩士班(日間),3
,101,1,公立,一般大學,9,國立中山大學,人力資源管理研究所,博士班,1
,101,1,公立,一般大學,9,國立中山大學,生物科學系,學士班(日間),2
,101,1,公立,一般大學,9,國立中山大學,生物醫學研究所,碩士班(日間),1
,101,1,公立,一般大學,9,國立中山大學,化學系,學士班(日間),2
,101,1,公立,一般大學,9,國立中山大學,物理學系,博士班,1
