學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀雙主修人次小計,修讀雙主修人次男,修讀雙主修人次女
105,1,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,學士班(日間),33,20,13
105,1,公立,一般大學,0003,國立臺灣大學,08111087,農藝學系,學士班(日間),5,2,3
105,1,公立,一般大學,0003,國立臺灣大學,08121091,園藝暨景觀學系,學士班(日間),18,7,11
105,1,公立,一般大學,0003,國立臺灣大學,08191100,農業化學系,學士班(日間),15,11,4
105,1,公立,一般大學,0003,國立臺灣大學,08193096,農業經濟學系,學士班(日間),17,10,7
105,1,公立,一般大學,0003,國立臺灣大學,08193098,生物產業傳播暨發展學系,學士班(日間),29,9,20
105,1,公立,一般大學,0003,國立臺灣大學,08194094,植物病理與微生物學系,學士班(日間),11,7,4
105,1,公立,一般大學,0003,國立臺灣大學,08211102,森林環境暨資源學系,學士班(日間),25,9,16
105,1,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,學士班(日間),20,7,13
105,1,公立,一般大學,0003,國立臺灣大學,09111137,牙醫學系,學士班(日間),6,5,1
105,1,公立,一般大學,0003,國立臺灣大學,09121107,醫學系,學士班(日間),61,52,9
105,1,公立,一般大學,0003,國立臺灣大學,09131134,護理學系,學士班(日間),7,3,4
105,1,公立,一般大學,0003,國立臺灣大學,09141136,醫學檢驗暨生物技術學系,學士班(日間),6,3,3
105,1,公立,一般大學,0003,國立臺灣大學,09151132,物理治療學系,學士班(日間),10,2,8
105,1,公立,一般大學,0003,國立臺灣大學,09152133,職能治療學系,學士班(日間),11,3,8
105,1,公立,一般大學,0003,國立臺灣大學,09161129,藥學系,學士班(日間),19,7,12
105,1,公立,一般大學,0003,國立臺灣大學,09191122,公共衛生學系,學士班(日間),8,4,4
105,1,公立,一般大學,0003,國立臺灣大學,09231144,社會工作學系,學士班(日間),23,10,13
105,1,公立,一般大學,0004,國立臺灣師範大學,01111001,教育學系,學士班(日間),77,16,61
105,1,公立,一般大學,0004,國立臺灣師範大學,01113018,特殊教育學系,學士班(日間),20,5,15
105,1,公立,一般大學,0004,國立臺灣師範大學,01131004,公民教育與活動領導學系,學士班(日間),15,1,14
105,1,公立,一般大學,0004,國立臺灣師範大學,01131009,社會教育學系,學士班(日間),16,3,13
105,1,公立,一般大學,0004,國立臺灣師範大學,01141007,人類發展與家庭學系,學士班(日間),30,4,26
105,1,公立,一般大學,0004,國立臺灣師範大學,01141015,體育學系,學士班(日間),7,5,2
105,1,公立,一般大學,0004,國立臺灣師範大學,01141017,健康促進與衛生教育學系,學士班(日間),20,7,13
105,1,公立,一般大學,0004,國立臺灣師範大學,01199022,科技應用與人力資源發展學系,學士班(日間),14,8,6
105,1,公立,一般大學,0004,國立臺灣師範大學,02122037,設計學系,學士班(日間),2,0,2
105,1,公立,一般大學,0004,國立臺灣師範大學,02131023,美術學系,學士班(日間),2,0,2
105,1,公立,一般大學,0004,國立臺灣師範大學,02151024,音樂學系,學士班(日間),25,0,25
105,1,公立,一般大學,0004,國立臺灣師範大學,02221035,歷史學系,學士班(日間),13,3,10
105,1,公立,一般大學,0004,國立臺灣師範大學,02311033,英語學系,學士班(日間),12,6,6
105,1,公立,一般大學,0004,國立臺灣師範大學,02313005,華語文教學系,學士班(日間),1,1,0
105,1,公立,一般大學,0004,國立臺灣師範大學,02321028,臺灣語文學系,學士班(日間),4,0,4
105,1,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,學士班(日間),31,5,26
105,1,公立,一般大學,0004,國立臺灣師範大學,02323030,應用華語文學系,學士班(日間),17,0,17
105,1,公立,一般大學,0004,國立臺灣師範大學,03131003,教育心理與輔導學系,學士班(日間),12,2,10
105,1,公立,一般大學,0004,國立臺灣師範大學,03142041,地理學系,學士班(日間),6,3,3
105,1,公立,一般大學,0004,國立臺灣師範大學,03143042,東亞學系,學士班(日間),10,2,8
105,1,公立,一般大學,0004,國立臺灣師範大學,03214050,圖文傳播學系,學士班(日間),9,1,8
105,1,公立,一般大學,0004,國立臺灣師範大學,04131051,企業管理學系,學士班(日間),5,0,5
105,1,公立,一般大學,0004,國立臺灣師範大學,05111056,生命科學系,學士班(日間),12,7,5
105,1,公立,一般大學,0004,國立臺灣師範大學,05311059,化學系,學士班(日間),9,9,0
105,1,公立,一般大學,0004,國立臺灣師範大學,05321060,地球科學系,學士班(日間),11,9,2
105,1,公立,一般大學,0004,國立臺灣師範大學,05331061,物理學系,學士班(日間),6,4,2
105,1,公立,一般大學,0004,國立臺灣師範大學,05411062,數學系,學士班(日間),9,8,1
105,1,公立,一般大學,0004,國立臺灣師範大學,07141063,電機工程學系,學士班(日間),2,1,1
105,1,公立,一般大學,0004,國立臺灣師範大學,07141065,資訊工程學系,學士班(日間),3,1,2
105,1,公立,一般大學,0004,國立臺灣師範大學,07151068,機電工程學系,學士班(日間),5,3,2
105,1,公立,一般大學,0004,國立臺灣師範大學,10141074,運動競技學系,學士班(日間),1,1,0
105,1,公立,一般大學,0005,國立成功大學,02123113,工業設計學系,學士班(日間),3,2,1
105,1,公立,一般大學,0005,國立成功大學,02221110,歷史學系,學士班(日間),29,14,15
105,1,公立,一般大學,0005,國立成功大學,02311108,外國語文學系,學士班(日間),8,1,7
105,1,公立,一般大學,0005,國立成功大學,02321106,台灣文學系,學士班(日間),9,3,6
105,1,公立,一般大學,0005,國立成功大學,02322107,中國文學系,學士班(日間),17,3,14
105,1,公立,一般大學,0005,國立成功大學,03111114,經濟學系,學士班(日間),12,3,9
105,1,公立,一般大學,0005,國立成功大學,03121115,政治學系,學士班(日間),17,5,12
105,1,公立,一般大學,0005,國立成功大學,03131117,心理學系,學士班(日間),6,5,1
105,1,公立,一般大學,0005,國立成功大學,04111120,會計學系,學士班(日間),3,2,1
105,1,公立,一般大學,0005,國立成功大學,04131121,企業管理學系,學士班(日間),9,4,5
105,1,公立,一般大學,0005,國立成功大學,04199057,工業與資訊管理學系,學士班(日間),4,3,1
105,1,公立,一般大學,0005,國立成功大學,04211001,法律學系,學士班(日間),12,3,9
105,1,公立,一般大學,0005,國立成功大學,05111003,生命科學系,學士班(日間),5,2,3
105,1,公立,一般大學,0005,國立成功大學,05121008,生物科技與產業科學系,學士班(日間),3,2,1
105,1,公立,一般大學,0005,國立成功大學,05311017,化學系,學士班(日間),2,0,2
105,1,公立,一般大學,0005,國立成功大學,05321019,地球科學系,學士班(日間),22,16,6
105,1,公立,一般大學,0005,國立成功大學,05331021,物理學系,學士班(日間),6,5,1
105,1,公立,一般大學,0005,國立成功大學,05411027,數學系,學士班(日間),15,10,5
105,1,公立,一般大學,0005,國立成功大學,05421029,統計學系,學士班(日間),2,0,2
105,1,公立,一般大學,0005,國立成功大學,06131036,資訊工程學系,學士班(日間),5,5,0
105,1,公立,一般大學,0005,國立成功大學,07111050,化學工程學系,學士班(日間),4,3,1
