,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,畢業生總人數,男,女
,101,私立,技專校院,1283,仁德醫護管理專科學校,720601,護理科,五專,383,16,367
,101,私立,技專校院,1283,仁德醫護管理專科學校,720713,視光學科,二專(進修),154,111,43
,101,私立,技專校院,1283,仁德醫護管理專科學校,720713,視光學科,五專,57,24,33
,101,私立,技專校院,1283,仁德醫護管理專科學校,720719,醫事檢驗科,五專,84,38,46
,101,私立,技專校院,1283,仁德醫護管理專科學校,760401,幼兒保育科,二專(進修),231,2,229
,101,私立,技專校院,1283,仁德醫護管理專科學校,760401,幼兒保育科,五專,19,0,19
,101,私立,技專校院,1283,仁德醫護管理專科學校,769902,生命關懷事業科,二專(進修),65,41,24
,101,私立,技專校院,1283,仁德醫護管理專科學校,810103,餐飲管理科,二專(進修),15,6,9
,101,私立,技專校院,1283,仁德醫護管理專科學校,810103,餐飲管理科,五專,52,22,30
,101,私立,技專校院,1284,樹人醫護管理專科學校,220303,應用外語科,五專,33,3,30
,101,私立,技專校院,1284,樹人醫護管理專科學校,480109,資訊管理科,五專,30,11,19
,101,私立,技專校院,1284,樹人醫護管理專科學校,720401,物理治療科,二專(進修),40,30,10
,101,私立,技專校院,1284,樹人醫護管理專科學校,720401,物理治療科,五專,127,46,81
,101,私立,技專校院,1284,樹人醫護管理專科學校,720402,職能治療科,五專,27,7,20
,101,私立,技專校院,1284,樹人醫護管理專科學校,720601,護理科,二專(進修),1,0,1
,101,私立,技專校院,1284,樹人醫護管理專科學校,720601,護理科,五專,297,25,272
,101,私立,技專校院,1284,樹人醫護管理專科學校,720713,視光學科,二專(進修),50,27,23
,101,私立,技專校院,1284,樹人醫護管理專科學校,720713,視光學科,五專,46,20,26
,101,私立,技專校院,1284,樹人醫護管理專科學校,720717,醫學影像暨放射技術科,五專,52,26,26
,101,私立,技專校院,1284,樹人醫護管理專科學校,720803,牙體技術科,二專(進修),45,35,10
,101,私立,技專校院,1284,樹人醫護管理專科學校,720803,牙體技術科,五專,72,25,47
,101,私立,技專校院,1285,慈惠醫護管理專科學校,220303,應用外語科,五專,24,5,19
,101,私立,技專校院,1285,慈惠醫護管理專科學校,230203,數位媒體創意設計科,二專(日間),8,3,5
,101,私立,技專校院,1285,慈惠醫護管理專科學校,230203,數位媒體創意設計科,二專(進修),10,3,7
,101,私立,技專校院,1285,慈惠醫護管理專科學校,230203,數位媒體創意設計科,五專,48,21,27
,101,私立,技專校院,1285,慈惠醫護管理專科學校,720401,物理治療科,二專(進修),9,6,3
,101,私立,技專校院,1285,慈惠醫護管理專科學校,720401,物理治療科,五專,132,49,83
,101,私立,技專校院,1285,慈惠醫護管理專科學校,720601,護理科,二專(日間),1,0,1
,101,私立,技專校院,1285,慈惠醫護管理專科學校,720601,護理科,二專(進修),27,0,27
,101,私立,技專校院,1285,慈惠醫護管理專科學校,720601,護理科,五專,252,16,236
,101,私立,技專校院,1285,慈惠醫護管理專科學校,760401,幼兒保育科,二專(日間),6,2,4
,101,私立,技專校院,1285,慈惠醫護管理專科學校,760401,幼兒保育科,二專(進修),33,0,33
,101,私立,技專校院,1285,慈惠醫護管理專科學校,760401,幼兒保育科,五專,21,0,21
,101,私立,技專校院,1285,慈惠醫護管理專科學校,810103,餐飲管理科,二專(日間),16,9,7
,101,私立,技專校院,1285,慈惠醫護管理專科學校,810103,餐飲管理科,二專(進修),18,8,10
,101,私立,技專校院,1285,慈惠醫護管理專科學校,810103,餐飲管理科,五專,38,18,20
,101,私立,技專校院,1285,慈惠醫護管理專科學校,810202,觀光事業科,二專(日間),11,4,7
,101,私立,技專校院,1285,慈惠醫護管理專科學校,810508,休閒事業管理科,二專(日間),22,14,8
,101,私立,技專校院,1285,慈惠醫護管理專科學校,810508,休閒事業管理科,二專(進修),36,18,18
,101,私立,技專校院,1285,慈惠醫護管理專科學校,810508,休閒事業管理科,五專,26,8,18
,101,私立,技專校院,1285,慈惠醫護管理專科學校,810801,美容造型設計科,二專(進修),6,0,6
,101,私立,技專校院,1285,慈惠醫護管理專科學校,810801,美容造型設計科,五專,23,3,20
,101,私立,技專校院,1286,耕莘健康管理專科學校,480109,資訊管理科,五專,35,8,27
,101,私立,技專校院,1286,耕莘健康管理專科學校,720601,護理科,二專(進修),3,0,3
,101,私立,技專校院,1286,耕莘健康管理專科學校,720601,護理科,五專,408,4,404
,101,私立,技專校院,1286,耕莘健康管理專科學校,760401,幼兒保育科,二專(日間),1,0,1
,101,私立,技專校院,1286,耕莘健康管理專科學校,760401,幼兒保育科,二專(進修),57,0,57
,101,私立,技專校院,1286,耕莘健康管理專科學校,760401,幼兒保育科,五專,32,0,32
,101,私立,技專校院,1286,耕莘健康管理專科學校,810514,健康休閒管理科,五專,56,14,42
,101,私立,技專校院,1286,耕莘健康管理專科學校,810802,化妝品應用與管理科,二專(日間),2,0,2
,101,私立,技專校院,1286,耕莘健康管理專科學校,810802,化妝品應用與管理科,二專(進修),42,7,35
,101,私立,技專校院,1286,耕莘健康管理專科學校,810802,化妝品應用與管理科,五專,39,1,38
,101,私立,技專校院,1286,耕莘健康管理專科學校,810805,美容保健科,五專,77,4,73
,101,私立,技專校院,1287,敏惠醫護管理專科學校,720601,護理科,五專,362,14,348
,101,私立,技專校院,1287,敏惠醫護管理專科學校,720803,牙體技術科,五專,79,36,43
,101,私立,技專校院,1287,敏惠醫護管理專科學校,760401,幼兒保育科,五專,17,0,17
,101,私立,技專校院,1287,敏惠醫護管理專科學校,810805,美容保健科,二專(日間),1,0,1
,101,私立,技專校院,1287,敏惠醫護管理專科學校,810805,美容保健科,五專,93,4,89
,101,私立,技專校院,1288,高美醫護管理專科學校,480109,資訊管理科,二專(進修),34,19,15
,101,私立,技專校院,1288,高美醫護管理專科學校,520260,車輛技術科,二專(進修),11,11,0
,101,私立,技專校院,1288,高美醫護管理專科學校,720601,護理科,五專,38,4,34
,101,私立,技專校院,1288,高美醫護管理專科學校,760401,幼兒保育科,二專(進修),21,0,21
,101,私立,技專校院,1288,高美醫護管理專科學校,810103,餐飲管理科,二專(進修),13,5,8
,101,私立,技專校院,1289,育英醫護管理專科學校,720601,護理科,五專,199,10,189
,101,私立,技專校院,1289,育英醫護管理專科學校,760203,老人服務事業管理科,五專,32,4,28
,101,私立,技專校院,1289,育英醫護管理專科學校,810802,化妝品應用與管理科,五專,57,3,54
,101,私立,技專校院,1290,崇仁醫護管理專科學校,720601,護理科,五專,393,24,369
,101,私立,技專校院,1290,崇仁醫護管理專科學校,810103,餐飲管理科,五專,52,18,34
,101,私立,技專校院,1290,崇仁醫護管理專科學校,810115,烘焙科,二專(日間),10,5,5
,101,私立,技專校院,1290,崇仁醫護管理專科學校,810805,美容保健科,五專,37,0,37
,101,私立,技專校院,1291,聖母醫護管理專科學校,480109,資訊管理科,五專,52,13,39
,101,私立,技專校院,1291,聖母醫護管理專科學校,720601,護理科,五專,310,25,285
,101,私立,技專校院,1291,聖母醫護管理專科學校,810102,餐旅(行銷)管理科,五專,50,19,31
,101,私立,技專校院,1291,聖母醫護管理專科學校,810514,健康(與)休閒管理科,五專,31,6,25
,101,私立,技專校院,1291,聖母醫護管理專科學校,810802,化妝品應用(與管理)科,五專,72,7,65
,101,私立,技專校院,1292,新生醫護管理專科學校,340403,國際商務科,五專,25,2,23
,101,私立,技專校院,1292,新生醫護管理專科學校,340802,行銷與流通科,五專,48,4,44
,101,私立,技專校院,1292,新生醫護管理專科學校,720601,護理科,五專,543,20,523
,101,私立,技專校院,1292,新生醫護管理專科學校,720607,長期照護科,二專(日間),14,0,14
,101,私立,技專校院,1292,新生醫護管理專科學校,760401,幼兒保育科,二專(日間),2,0,2
,101,私立,技專校院,1292,新生醫護管理專科學校,760401,幼兒保育科,五專,67,0,67
,101,私立,技專校院,1292,新生醫護管理專科學校,810801,美容造型科,五專,38,3,35
,102,公立,一般大學,1,國立政治大學,140101,教育學系,學士班(日間),55,14,41
,102,公立,一般大學,1,國立政治大學,140101,教育學系,碩士班(日間),10,1,9
,102,公立,一般大學,1,國立政治大學,140101,教育學系,博士班,16,8,8
,102,公立,一般大學,1,國立政治大學,140203,華語文教學碩士學位學程,碩士班(日間),5,1,4
,102,公立,一般大學,1,國立政治大學,140203,華語文教學博士學位學程,博士班,1,0,1
,102,公立,一般大學,1,國立政治大學,140218,國文教學碩士在職專班,碩士在職專班,18,2,16
,102,公立,一般大學,1,國立政治大學,140219,數學教學碩士在職專班,碩士在職專班,14,9,5
,102,公立,一般大學,1,國立政治大學,140401,幼兒教育研究所,碩士班(日間),8,1,7
,102,公立,一般大學,1,國立政治大學,140701,教育行政與政策研究所,碩士班(日間),16,4,12
,102,公立,一般大學,1,國立政治大學,140709,學校行政碩士在職專班,碩士在職專班,22,15,7
,102,公立,一般大學,1,國立政治大學,220101,台灣文學研究所,碩士班(日間),12,4,8
,102,公立,一般大學,1,國立政治大學,220101,台灣文學研究所,博士班,1,0,1
,102,公立,一般大學,1,國立政治大學,220201,中國文學系,學士班(日間),92,22,70
,102,公立,一般大學,1,國立政治大學,220201,中國文學系,碩士班(日間),21,8,13
,102,公立,一般大學,1,國立政治大學,220201,中國文學系,博士班,7,2,5
,102,公立,一般大學,1,國立政治大學,220307,英國語文學系,學士班(日間),68,14,54
,102,公立,一般大學,1,國立政治大學,220307,英國語文學系,碩士班(日間),9,2,7
,102,公立,一般大學,1,國立政治大學,220307,英國語文學系英語教學碩士在職專班,碩士在職專班,5,0,5
,102,公立,一般大學,1,國立政治大學,220307,英國語文學系,博士班,1,1,0
,102,公立,一般大學,1,國立政治大學,220320,日本語文學系,學士班(日間),31,2,29
,102,公立,一般大學,1,國立政治大學,220320,日本語文學系,碩士班(日間),10,0,10
,102,公立,一般大學,1,國立政治大學,220322,阿拉伯語文學系,學士班(日間),39,13,26
,102,公立,一般大學,1,國立政治大學,220324,韓國語文學系,學士班(日間),29,3,26
,102,公立,一般大學,1,國立政治大學,220326,土耳其語文學系,學士班(日間),40,11,29
,102,公立,一般大學,1,國立政治大學,220327,歐洲語文學系,學士班(日間),69,11,58
,102,公立,一般大學,1,國立政治大學,220327,歐洲語言文化學程碩士在職專班,碩士在職專班,2,1,1
,102,公立,一般大學,1,國立政治大學,220333,斯拉夫語文學系,學士班(日間),38,13,25
,102,公立,一般大學,1,國立政治大學,220333,斯拉夫語文學系,碩士班(日間),5,1,4
,102,公立,一般大學,1,國立政治大學,220701,語言學研究所,碩士班(日間),10,6,4
,102,公立,一般大學,1,國立政治大學,220801,宗教研究所,碩士班(日間),10,4,6
,102,公立,一般大學,1,國立政治大學,220901,歷史學系,學士班(日間),38,18,20
,102,公立,一般大學,1,國立政治大學,220901,歷史學系,碩士班(日間),11,7,4
,102,公立,一般大學,1,國立政治大學,220901,歷史學系,博士班,2,2,0
,102,公立,一般大學,1,國立政治大學,220903,台灣史研究所,碩士班(日間),11,4,7
,102,公立,一般大學,1,國立政治大學,220903,台灣史研究所,博士班,3,1,2
,102,公立,一般大學,1,國立政治大學,221101,哲學系,學士班(日間),23,7,16
,102,公立,一般大學,1,國立政治大學,221101,哲學系,碩士班(日間),6,5,1
,102,公立,一般大學,1,國立政治大學,221101,哲學系,博士班,1,1,0
,102,公立,一般大學,1,國立政治大學,310101,經濟學系,學士班(日間),92,39,53
,102,公立,一般大學,1,國立政治大學,310101,經濟學系,碩士班(日間),23,13,10
,102,公立,一般大學,1,國立政治大學,310101,經濟學系,博士班,2,2,0
,102,公立,一般大學,1,國立政治大學,310201,政治學系,學士班(日間),42,13,29
,102,公立,一般大學,1,國立政治大學,310201,政治學系,碩士班(日間),16,11,5
,102,公立,一般大學,1,國立政治大學,310201,政治學系,博士班,4,1,3
,102,公立,一般大學,1,國立政治大學,310207,國家安全與大陸研究碩士在職專班,碩士在職專班,17,15,2
,102,公立,一般大學,1,國立政治大學,310301,社會學系,學士班(日間),44,9,35
,102,公立,一般大學,1,國立政治大學,310301,社會學系,碩士班(日間),23,9,14
,102,公立,一般大學,1,國立政治大學,310401,民族學系,學士班(日間),28,10,18
,102,公立,一般大學,1,國立政治大學,310401,民族學系,碩士班(日間),7,3,4
,102,公立,一般大學,1,國立政治大學,310401,民族學系,博士班,8,6,2
,102,公立,一般大學,1,國立政治大學,310501,心理學系,學士班(日間),53,30,23
,102,公立,一般大學,1,國立政治大學,310501,心理學系,碩士班(日間),25,6,19
,102,公立,一般大學,1,國立政治大學,310501,心理學系,博士班,5,1,4
,102,公立,一般大學,1,國立政治大學,310506,輔導與諮商碩士學位學程,碩士班(日間),2,0,2
,102,公立,一般大學,1,國立政治大學,310702,東亞研究所,碩士班(日間),20,11,9
,102,公立,一般大學,1,國立政治大學,310702,東亞研究所,博士班,3,1,2
,102,公立,一般大學,1,國立政治大學,310705,日本研究碩士學位學程,碩士班(日間),8,3,5
,102,公立,一般大學,1,國立政治大學,310709,俄羅斯研究所,碩士班(日間),8,5,3
,102,公立,一般大學,1,國立政治大學,310728,亞太研究英語碩士學位學程,碩士班(日間),25,12,13
,102,公立,一般大學,1,國立政治大學,310728,亞太研究英語博士學位學程,博士班,7,5,2
,102,公立,一般大學,1,國立政治大學,310801,公共行政學系,學士班(日間),39,7,32
,102,公立,一般大學,1,國立政治大學,310801,公共行政學系,碩士班(日間),29,7,22
,102,公立,一般大學,1,國立政治大學,310801,公共行政學系,博士班,5,2,3
,102,公立,一般大學,1,國立政治大學,310804,行政管理碩士學程,碩士在職專班,77,29,48
,102,公立,一般大學,1,國立政治大學,310811,地政學系,學士班(日間),130,63,67
,102,公立,一般大學,1,國立政治大學,310811,地政學系,碩士班(日間),21,9,12
,102,公立,一般大學,1,國立政治大學,310811,地政學系碩士在職專班,碩士在職專班,23,7,16
,102,公立,一般大學,1,國立政治大學,310811,地政學系,博士班,1,0,1
,102,公立,一般大學,1,國立政治大學,310905,外交學系,學士班(日間),78,19,59
,102,公立,一般大學,1,國立政治大學,310905,外交學系,碩士班(日間),29,11,18
,102,公立,一般大學,1,國立政治大學,310905,外交學系戰略與國際事務碩士在職專班,碩士在職專班,14,10,4
,102,公立,一般大學,1,國立政治大學,310905,外交學系,博士班,2,0,2
,102,公立,一般大學,1,國立政治大學,310909,國際研究英語碩士學位學程,碩士班(日間),11,3,8
,102,公立,一般大學,1,國立政治大學,311002,國家發展研究所,碩士班(日間),14,5,9
,102,公立,一般大學,1,國立政治大學,311002,國家發展研究所,博士班,6,6,0
,102,公立,一般大學,1,國立政治大學,311003,勞工研究所,碩士班(日間),14,3,11
,102,公立,一般大學,1,國立政治大學,320102,傳播學院傳播學士學位學程,學士班(日間),18,5,13
,102,公立,一般大學,1,國立政治大學,320115,國際傳播英語碩士學位學程,碩士班(日間),11,3,8
,102,公立,一般大學,1,國立政治大學,320201,新聞學系,學士班(日間),77,24,53
,102,公立,一般大學,1,國立政治大學,320201,新聞學系,碩士班(日間),23,6,17
,102,公立,一般大學,1,國立政治大學,320201,新聞學系,博士班,2,1,1
,102,公立,一般大學,1,國立政治大學,320301,廣播電視學系,學士班(日間),49,6,43
,102,公立,一般大學,1,國立政治大學,320301,廣播電視學系,碩士班(日間),13,6,7
,102,公立,一般大學,1,國立政治大學,320602,圖書資訊學數位碩士在職專班,碩士在職專班,11,3,8
,102,公立,一般大學,1,國立政治大學,320603,圖書資訊與檔案學研究所,碩士班(日間),15,4,11
,102,公立,一般大學,1,國立政治大學,320802,廣告學系,學士班(日間),50,10,40
,102,公立,一般大學,1,國立政治大學,320802,廣告學系,碩士班(日間),15,3,12
,102,公立,一般大學,1,國立政治大學,329999,傳播學院碩士在職專班,碩士在職專班,15,4,11
,102,公立,一般大學,1,國立政治大學,340201,會計學系,學士班(日間),115,35,80
,102,公立,一般大學,1,國立政治大學,340201,會計學系,碩士班(日間),51,15,36
,102,公立,一般大學,1,國立政治大學,340201,會計學系,博士班,4,1,3
,102,公立,一般大學,1,國立政治大學,340301,企業管理學系,學士班(日間),95,32,63
,102,公立,一般大學,1,國立政治大學,340301,企業管理研究所(MBA學位學程)(合併商管專業學院),碩士班(日間),91,41,50
,102,公立,一般大學,1,國立政治大學,340301,企業管理學系,博士班,6,2,4
,102,公立,一般大學,1,國立政治大學,340303,經營管理碩士學程全球台商班,碩士在職專班,27,19,8
,102,公立,一般大學,1,國立政治大學,340303,經營管理碩士學程高階經營班,碩士在職專班,174,100,74
,102,公立,一般大學,1,國立政治大學,340310,國際經營管理碩士學程,碩士班(日間),55,25,30
,102,公立,一般大學,1,國立政治大學,340408,國際經營與貿易學系,學士班(日間),87,34,53
,102,公立,一般大學,1,國立政治大學,340408,國際經營與貿易學系,碩士班(日間),38,16,22
,102,公立,一般大學,1,國立政治大學,340504,財務管理學系,學士班(日間),47,18,29
,102,公立,一般大學,1,國立政治大學,340504,財務管理學系,碩士班(日間),26,14,12
,102,公立,一般大學,1,國立政治大學,340504,財務管理學系,博士班,1,0,1
,102,公立,一般大學,1,國立政治大學,340505,金融學系,學士班(日間),66,35,31
,102,公立,一般大學,1,國立政治大學,340505,金融學系,碩士班(日間),30,19,11
,102,公立,一般大學,1,國立政治大學,340505,金融學系,博士班,6,6,0
,102,公立,一般大學,1,國立政治大學,340601,風險管理與保險學系,學士班(日間),49,30,19
,102,公立,一般大學,1,國立政治大學,340601,風險管理與保險學系,碩士班(日間),28,14,14
,102,公立,一般大學,1,國立政治大學,340601,風險管理與保險學系,博士班,1,1,0
,102,公立,一般大學,1,國立政治大學,340701,財政學系,學士班(日間),92,37,55
,102,公立,一般大學,1,國立政治大學,340701,財政學系,碩士班(日間),20,3,17
,102,公立,一般大學,1,國立政治大學,349901,科技管理研究所,博士班,4,2,2
,102,公立,一般大學,1,國立政治大學,349984,科技管理與智慧財產研究所,碩士班(日間),48,24,24
,102,公立,一般大學,1,國立政治大學,380101,法律學系,學士班(日間),241,113,128
,102,公立,一般大學,1,國立政治大學,380101,法律學系,碩士班(日間),42,18,24
,102,公立,一般大學,1,國立政治大學,380101,法律學系,博士班,1,0,1
,102,公立,一般大學,1,國立政治大學,380204,法律科際整合研究所,碩士班(日間),17,6,11
,102,公立,一般大學,1,國立政治大學,389998,法學院碩士在職專班,碩士在職專班,27,18,9
,102,公立,一般大學,1,國立政治大學,440302,應用物理研究所,碩士班(日間),11,10,1
,102,公立,一般大學,1,國立政治大學,460102,應用數學系,學士班(日間),36,26,10
,102,公立,一般大學,1,國立政治大學,460102,應用數學系,碩士班(日間),7,7,0
,102,公立,一般大學,1,國立政治大學,460201,統計學系,學士班(日間),46,24,22
,102,公立,一般大學,1,國立政治大學,460201,統計學系,碩士班(日間),28,19,9
,102,公立,一般大學,1,國立政治大學,460201,統計學系,博士班,2,1,1
,102,公立,一般大學,1,國立政治大學,480109,資訊管理學系,學士班(日間),76,45,31
,102,公立,一般大學,1,國立政治大學,480109,資訊管理學系,碩士班(日間),33,24,9
,102,公立,一般大學,1,國立政治大學,480109,資訊管理學系,博士班,4,3,1
,102,公立,一般大學,1,國立政治大學,480505,數位內容碩士學位學程,碩士班(日間),7,3,4
,102,公立,一般大學,1,國立政治大學,520116,資訊科學系,學士班(日間),43,38,5
,102,公立,一般大學,1,國立政治大學,520116,資訊科學系,碩士班(日間),28,24,4
,102,公立,一般大學,1,國立政治大學,520116,資訊科學系碩士在職專班,碩士在職專班,14,11,3
,102,公立,一般大學,1,國立政治大學,520116,資訊科學系,博士班,1,1,0
,102,公立,一般大學,1,國立政治大學,720111,神經科學研究所,碩士班(日間),10,4,6
,102,公立,一般大學,1,國立政治大學,760301,社會工作研究所,碩士班(日間),9,2,7
,102,公立,一般大學,2,國立清華大學,220101,台灣文學研究所,碩士班(日間),8,1,7
,102,公立,一般大學,2,國立清華大學,220201,中國文學系,學士班(日間),52,8,44
,102,公立,一般大學,2,國立清華大學,220201,中國文學系,碩士班(日間),17,5,12
,102,公立,一般大學,2,國立清華大學,220201,中國文學系,博士班,4,2,2
,102,公立,一般大學,2,國立清華大學,220301,外國語文學系,學士班(日間),53,5,48
,102,公立,一般大學,2,國立清華大學,220301,外國語文學系,碩士班(日間),9,2,7
,102,公立,一般大學,2,國立清華大學,220701,語言學研究所,碩士班(日間),13,5,8
,102,公立,一般大學,2,國立清華大學,220901,歷史研究所,碩士班(日間),11,6,5
,102,公立,一般大學,2,國立清華大學,220901,歷史研究所,博士班,1,1,0
,102,公立,一般大學,2,國立清華大學,221001,人類學研究所,碩士班(日間),5,1,4
,102,公立,一般大學,2,國立清華大學,221001,人類學研究所,博士班,2,0,2
,102,公立,一般大學,2,國立清華大學,221101,哲學研究所,碩士班(日間),9,5,4
,102,公立,一般大學,2,國立清華大學,229999,人文社會學院學士班,學士班(日間),73,21,52
,102,公立,一般大學,2,國立清華大學,310101,經濟學系,學士班(日間),120,45,75
,102,公立,一般大學,2,國立清華大學,310101,經濟學系,碩士班(日間),17,8,9
,102,公立,一般大學,2,國立清華大學,310101,經濟學系,博士班,3,1,2
,102,公立,一般大學,2,國立清華大學,310301,社會學研究所,碩士班(日間),14,6,8
,102,公立,一般大學,2,國立清華大學,310301,社會學研究所,博士班,1,1,0
,102,公立,一般大學,2,國立清華大學,310719,台灣研究教師在職進修碩士學位班,碩士在職專班,4,1,3
,102,公立,一般大學,2,國立清華大學,311019,學習科學研究所,碩士班(日間),8,1,7
,102,公立,一般大學,2,國立清華大學,340303,經營管理碩士在職專班,碩士在職專班,32,17,15
,102,公立,一般大學,2,國立清華大學,340310,國際專業管理碩士班,碩士班(日間),14,2,12
,102,公立,一般大學,2,國立清華大學,340501,計量財務金融學系,學士班(日間),51,25,26
,102,公立,一般大學,2,國立清華大學,340501,計量財務金融學系,碩士班(日間),12,5,7
,102,公立,一般大學,2,國立清華大學,349901,科技管理研究所,碩士班(日間),35,18,17
,102,公立,一般大學,2,國立清華大學,349901,科技管理研究所,博士班,5,2,3
,102,公立,一般大學,2,國立清華大學,349939,高階經營管理碩士在職專班,碩士在職專班,33,27,6
,102,公立,一般大學,2,國立清華大學,349951,服務科學研究所,碩士班(日間),13,4,9
,102,公立,一般大學,2,國立清華大學,349996,科技管理學院學士班,學士班(日間),43,13,30
,102,公立,一般大學,2,國立清華大學,380203,科技法律研究所,碩士班(日間),20,9,11
,102,公立,一般大學,2,國立清華大學,420103,生命科學系,學士班(日間),61,41,20
,102,公立,一般大學,2,國立清華大學,420302,生物科技研究所,碩士班(日間),26,12,14
,102,公立,一般大學,2,國立清華大學,420302,生物科技研究所,博士班,7,6,1
,102,公立,一般大學,2,國立清華大學,420313,分子與細胞生物研究所,碩士班(日間),21,11,10
,102,公立,一般大學,2,國立清華大學,420313,分子與細胞生物研究所,博士班,3,1,2
,102,公立,一般大學,2,國立清華大學,420605,生物資訊與結構生物研究所,碩士班(日間),22,13,9
,102,公立,一般大學,2,國立清華大學,420605,生物資訊與結構生物研究所,博士班,9,7,2
,102,公立,一般大學,2,國立清華大學,429903,生命科學院學士班,學士班(日間),23,12,11
,102,公立,一般大學,2,國立清華大學,429904,系統神經科學研究所,碩士班(日間),1,1,0
,102,公立,一般大學,2,國立清華大學,440101,化學系,學士班(日間),60,40,20
,102,公立,一般大學,2,國立清華大學,440101,化學系,碩士班(日間),60,31,29
,102,公立,一般大學,2,國立清華大學,440101,化學系,博士班,35,28,7
,102,公立,一般大學,2,國立清華大學,440301,物理學系,學士班(日間),60,53,7
,102,公立,一般大學,2,國立清華大學,440301,物理學系,碩士班(日間),40,35,5
,102,公立,一般大學,2,國立清華大學,440301,物理學系,博士班,20,17,3
,102,公立,一般大學,2,國立清華大學,440601,天文研究所,碩士班(日間),6,2,4
,102,公立,一般大學,2,國立清華大學,449905,先進光源科技學位學程,碩士班(日間),9,9,0
,102,公立,一般大學,2,國立清華大學,449999,理學院學士班,學士班(日間),34,26,8
,102,公立,一般大學,2,國立清華大學,460101,數學系,學士班(日間),42,34,8
,102,公立,一般大學,2,國立清華大學,460101,數學系,碩士班(日間),19,17,2
,102,公立,一般大學,2,國立清華大學,460101,數學系,博士班,2,2,0
,102,公立,一般大學,2,國立清華大學,460201,統計學研究所,碩士班(日間),25,18,7
,102,公立,一般大學,2,國立清華大學,460201,統計學研究所,博士班,5,4,1
,102,公立,一般大學,2,國立清華大學,480401,資訊系統與應用研究所,碩士班(日間),36,23,13
,102,公立,一般大學,2,國立清華大學,480401,資訊系統與應用研究所,博士班,3,1,2
,102,公立,一般大學,2,國立清華大學,520101,電機工程學系,學士班(日間),114,103,11
,102,公立,一般大學,2,國立清華大學,520101,電機工程學系,碩士班(日間),122,101,21
,102,公立,一般大學,2,國立清華大學,520101,電機工程學系,博士班,16,16,0
,102,公立,一般大學,2,國立清華大學,520103,電子工程研究所,碩士班(日間),70,55,15
,102,公立,一般大學,2,國立清華大學,520103,電子工程研究所,博士班,9,9,0
,102,公立,一般大學,2,國立清華大學,520106,光電工程研究所,碩士班(日間),45,40,5
,102,公立,一般大學,2,國立清華大學,520106,光電工程研究所,博士班,11,9,2
,102,公立,一般大學,2,國立清華大學,520114,資訊工程學系,學士班(日間),122,98,24
,102,公立,一般大學,2,國立清華大學,520114,資訊工程學系,碩士班(日間),140,109,31
,102,公立,一般大學,2,國立清華大學,520114,資訊工程學系,博士班,16,14,2
,102,公立,一般大學,2,國立清華大學,520126,通訊工程研究所,碩士班(日間),51,39,12
,102,公立,一般大學,2,國立清華大學,520126,通訊工程研究所,博士班,5,5,0
,102,公立,一般大學,2,國立清華大學,520188,半導體元件及製程產業研發碩士專班,碩士班(日間),1,1,0
,102,公立,一般大學,2,國立清華大學,520196,電機資訊學院學士班,學士班(日間),21,18,3
,102,公立,一般大學,2,國立清華大學,520201,動力機械工程學系,學士班(日間),108,98,10
,102,公立,一般大學,2,國立清華大學,520201,動力機械工程學系,碩士班(日間),120,106,14
,102,公立,一般大學,2,國立清華大學,520201,動力機械工程學系,博士班,16,14,2
,102,公立,一般大學,2,國立清華大學,520401,化學工程學系,學士班(日間),58,41,17
,102,公立,一般大學,2,國立清華大學,520401,化學工程學系,碩士班(日間),68,43,25
,102,公立,一般大學,2,國立清華大學,520401,化學工程學系,博士班,20,17,3
,102,公立,一般大學,2,國立清華大學,520502,材料科學工程學系,學士班(日間),126,101,25
,102,公立,一般大學,2,國立清華大學,520502,材料科學工程學系,碩士班(日間),89,67,22
,102,公立,一般大學,2,國立清華大學,520502,材料科學工程學系,博士班,38,32,6
,102,公立,一般大學,2,國立清華大學,520518,奈米工程與微系統研究所,碩士班(日間),19,12,7
,102,公立,一般大學,2,國立清華大學,520518,奈米工程與微系統研究所,博士班,5,5,0
,102,公立,一般大學,2,國立清華大學,520601,工業工程與工程管理學系,學士班(日間),62,40,22
,102,公立,一般大學,2,國立清華大學,520601,工業工程與工程管理學系,碩士班(日間),90,56,34
,102,公立,一般大學,2,國立清華大學,520601,工業工程與工程管理學系碩士在職專班,碩士在職專班,33,26,7
,102,公立,一般大學,2,國立清華大學,520601,工業工程與工程管理學系,博士班,7,5,2
,102,公立,一般大學,2,國立清華大學,521104,生醫工程與環境科學系,學士班(日間),45,26,19
,102,公立,一般大學,2,國立清華大學,521104,生醫工程與環境科學系,碩士班(日間),37,20,17
,102,公立,一般大學,2,國立清華大學,521104,生醫工程與環境科學系,博士班,13,8,5
,102,公立,一般大學,2,國立清華大學,521108,生物醫學工程研究所,碩士班(日間),4,1,3
,102,公立,一般大學,2,國立清華大學,521201,工程與系統科學系,學士班(日間),102,75,27
,102,公立,一般大學,2,國立清華大學,521201,工程與系統科學系,碩士班(日間),77,61,16
,102,公立,一般大學,2,國立清華大學,521201,工程與系統科學系,博士班,9,8,1
,102,公立,一般大學,2,國立清華大學,521202,核子工程與科學研究所,碩士班(日間),20,11,9
,102,公立,一般大學,2,國立清華大學,521202,核子工程與科學研究所,博士班,1,1,0
