,學年度,學期,設立別 ,學校類別,學校代碼,學校名稱,學制,學生總人數,學期內新增辦理休學人數,男,女,至學期底總休學人數,男,女
,101,1,公立,一般大學,17,國立臺北大學,學士班(日間),5618,77,41,36,108,59,49
,101,1,公立,一般大學,17,國立臺北大學,學士班(進修),2260,117,55,62,199,103,96
,101,1,公立,一般大學,17,國立臺北大學,碩士班(日間),1359,159,72,87,248,113,135
,101,1,公立,一般大學,17,國立臺北大學,碩士在職專班,469,22,11,11,69,35,34
,101,1,公立,一般大學,17,國立臺北大學,博士班,173,21,15,6,42,33,9
,101,1,公立,一般大學,18,國立嘉義大學,學士班(日間),7768,123,78,45,210,137,73
,101,1,公立,一般大學,18,國立嘉義大學,學士班(進修),2219,112,54,58,272,157,115
,101,1,公立,一般大學,18,國立嘉義大學,碩士班(日間),1768,115,52,63,270,126,144
,101,1,公立,一般大學,18,國立嘉義大學,碩士在職專班,1070,70,32,38,183,82,101
,101,1,公立,一般大學,18,國立嘉義大學,博士班,208,17,11,6,36,24,12
,101,1,公立,一般大學,19,國立高雄大學,學士班(日間),4167,66,36,30,88,53,35
,101,1,公立,一般大學,19,國立高雄大學,學士班(進修),220,14,12,2,40,24,16
,101,1,公立,一般大學,19,國立高雄大學,碩士班(日間),646,48,32,16,102,67,35
,101,1,公立,一般大學,19,國立高雄大學,碩士在職專班,513,48,37,11,130,100,30
,101,1,公立,一般大學,19,國立高雄大學,博士班,13,0,0,0,2,2,0
,101,1,公立,一般大學,20,國立東華大學,學士班(日間),6970,128,73,55,212,132,80
,101,1,公立,一般大學,20,國立東華大學,學士班(進修),6,2,2,0,4,4,0
,101,1,公立,一般大學,20,國立東華大學,碩士班(日間),2389,195,80,115,552,256,296
,101,1,公立,一般大學,20,國立東華大學,碩士在職專班,619,64,31,33,179,94,85
,101,1,公立,一般大學,20,國立東華大學,博士班,372,46,26,20,120,73,47
,101,1,公立,一般大學,21,國立暨南國際大學,學士班(日間),3934,38,25,13,55,34,21
,101,1,公立,一般大學,21,國立暨南國際大學,學士班(進修),3,2,0,2,3,0,3
,101,1,公立,一般大學,21,國立暨南國際大學,碩士班(日間),1247,140,50,90,207,87,120
,101,1,公立,一般大學,21,國立暨南國際大學,碩士在職專班,338,19,11,8,37,20,17
,101,1,公立,一般大學,21,國立暨南國際大學,博士班,316,42,16,26,69,33,36
,101,1,公立,一般大學,28,國立臺北藝術大學,五專,87,1,1,0,1,1,0
,101,1,公立,一般大學,28,國立臺北藝術大學,學士班(日間),1481,37,22,15,44,25,19
,101,1,公立,一般大學,28,國立臺北藝術大學,碩士班(日間),932,149,48,101,249,93,156
,101,1,公立,一般大學,28,國立臺北藝術大學,碩士在職專班,140,27,10,17,33,11,22
,101,1,公立,一般大學,28,國立臺北藝術大學,博士班,51,10,3,7,15,5,10
,101,1,公立,一般大學,29,國立臺灣藝術大學,學士班(日間),2266,46,13,33,75,28,47
,101,1,公立,一般大學,29,國立臺灣藝術大學,學士班(進修),1895,83,26,57,157,50,107
,101,1,公立,一般大學,29,國立臺灣藝術大學,碩士班(日間),758,88,37,51,168,79,89
,101,1,公立,一般大學,29,國立臺灣藝術大學,碩士在職專班,402,34,9,25,63,18,45
,101,1,公立,一般大學,29,國立臺灣藝術大學,博士班,54,4,2,2,8,4,4
,101,1,公立,一般大學,30,國立臺東大學,學士班(日間),3433,100,56,44,161,98,63
,101,1,公立,一般大學,30,國立臺東大學,學士班(進修),178,10,6,4,14,8,6
,101,1,公立,一般大學,30,國立臺東大學,碩士班(日間),338,67,24,43,109,41,68
,101,1,公立,一般大學,30,國立臺東大學,碩士在職專班,848,34,13,21,69,34,35
,101,1,公立,一般大學,30,國立臺東大學,博士班,42,8,0,8,12,2,10
,101,1,公立,一般大學,31,國立宜蘭大學,學士班(日間),4170,56,41,15,98,77,21
,101,1,公立,一般大學,31,國立宜蘭大學,學士班(進修),653,35,31,4,111,96,15
,101,1,公立,一般大學,31,國立宜蘭大學,碩士班(日間),558,22,16,6,40,29,11
,101,1,公立,一般大學,31,國立宜蘭大學,碩士在職專班,171,10,7,3,12,9,3
,101,1,公立,一般大學,31,國立宜蘭大學,博士班,12,0,0,0,0,0,0
,101,1,公立,一般大學,32,國立聯合大學,學士班(日間),6143,134,111,23,215,181,34
,101,1,公立,一般大學,32,國立聯合大學,學士班(進修),1454,89,60,29,137,92,45
,101,1,公立,一般大學,32,國立聯合大學,碩士班(日間),449,15,11,4,28,20,8
,101,1,公立,一般大學,32,國立聯合大學,博士班,9,1,1,0,2,2,0
,101,1,公立,一般大學,35,國立臺南藝術大學,五專,158,0,0,0,1,1,0
,101,1,公立,一般大學,35,國立臺南藝術大學,學士班(日間),724,15,8,7,33,10,23
,101,1,公立,一般大學,35,國立臺南藝術大學,學士班(進修),40,3,2,1,4,3,1
,101,1,公立,一般大學,35,國立臺南藝術大學,碩士班(日間),566,75,23,52,156,65,91
,101,1,公立,一般大學,35,國立臺南藝術大學,碩士在職專班,50,7,2,5,15,4,11
,101,1,公立,一般大學,35,國立臺南藝術大學,博士班,38,7,3,4,17,10,7
,101,1,公立,一般大學,36,國立臺南大學,學士班(日間),3865,49,25,24,82,48,34
,101,1,公立,一般大學,36,國立臺南大學,學士班(進修),431,10,6,4,23,14,9
,101,1,公立,一般大學,36,國立臺南大學,碩士班(日間),1162,126,49,77,247,95,152
,101,1,公立,一般大學,36,國立臺南大學,碩士在職專班,805,53,14,39,123,42,81
,101,1,公立,一般大學,36,國立臺南大學,博士班,174,19,12,7,26,16,10
,101,1,公立,一般大學,37,國立臺北教育大學,學士班(日間),3173,62,34,28,77,42,35
,101,1,公立,一般大學,37,國立臺北教育大學,碩士班(日間),1138,205,53,152,280,89,191
,101,1,公立,一般大學,37,國立臺北教育大學,碩士在職專班,1210,113,35,78,216,67,149
,101,1,公立,一般大學,37,國立臺北教育大學,博士班,139,27,21,6,41,25,16
,101,1,公立,一般大學,38,國立新竹教育大學,學士班(日間),2499,20,9,11,52,21,31
,101,1,公立,一般大學,38,國立新竹教育大學,碩士班(日間),763,78,18,60,164,51,113
,101,1,公立,一般大學,38,國立新竹教育大學,碩士在職專班,613,36,4,32,49,10,39
,101,1,公立,一般大學,38,國立新竹教育大學,博士班,72,9,1,8,17,5,12
,101,1,公立,一般大學,39,國立臺中教育大學,學士班(日間),3330,52,22,30,67,28,39
,101,1,公立,一般大學,39,國立臺中教育大學,碩士班(日間),816,86,29,57,123,50,73
,101,1,公立,一般大學,39,國立臺中教育大學,碩士在職專班,701,54,15,39,83,24,59
,101,1,公立,一般大學,39,國立臺中教育大學,博士班,117,9,4,5,19,8,11
,101,1,公立,一般大學,40,國立屏東教育大學,學士班(日間),3229,43,25,18,63,37,26
,101,1,公立,一般大學,40,國立屏東教育大學,碩士班(日間),790,88,29,59,164,61,103
,101,1,公立,一般大學,40,國立屏東教育大學,碩士在職專班,672,31,5,26,55,9,46
,101,1,公立,一般大學,40,國立屏東教育大學,博士班,56,5,3,2,6,3,3
,101,1,公立,一般大學,44,國立體育大學,學士班(日間),1476,44,32,12,94,75,19
,101,1,公立,一般大學,44,國立體育大學,學士班(進修),93,13,11,2,20,15,5
,101,1,公立,一般大學,44,國立體育大學,碩士班(日間),365,45,20,25,88,41,47
,101,1,公立,一般大學,44,國立體育大學,碩士在職專班,214,19,12,7,31,18,13
,101,1,公立,一般大學,44,國立體育大學,博士班,130,10,5,5,20,12,8
,101,1,公立,一般大學,48,國立金門大學,學士班(日間),2654,64,34,30,78,44,34
,101,1,公立,一般大學,48,國立金門大學,學士班(進修),818,31,19,12,71,47,24
,101,1,公立,一般大學,48,國立金門大學,碩士班(日間),226,13,7,6,29,19,10
,101,1,公立,一般大學,49,國立臺灣體育運動大學,學士班(日間),2449,99,74,25,223,165,58
,101,1,公立,一般大學,49,國立臺灣體育運動大學,學士班(進修),402,23,16,7,43,28,15
,101,1,公立,一般大學,49,國立臺灣體育運動大學,碩士班(日間),257,73,38,35,132,65,67
,101,1,公立,一般大學,49,國立臺灣體育運動大學,碩士在職專班,92,1,1,0,5,3,2
,101,1,公立,一般大學,3001,臺北市立教育大學,學士班(日間),2888,64,40,24,88,53,35
,101,1,公立,一般大學,3001,臺北市立教育大學,碩士班(日間),860,131,39,92,210,65,145
,101,1,公立,一般大學,3001,臺北市立教育大學,碩士在職專班,847,38,9,29,73,18,55
,101,1,公立,一般大學,3001,臺北市立教育大學,博士班,205,24,14,10,43,26,17
,101,1,公立,一般大學,3102,臺北市立體育學院,學士班(日間),1866,58,46,12,103,74,29
,101,1,公立,一般大學,3102,臺北市立體育學院,碩士班(日間),281,35,15,20,51,28,23
,101,1,公立,一般大學,3102,臺北市立體育學院,碩士在職專班,143,3,1,2,9,5,4
,101,1,公立,一般大學,3102,臺北市立體育學院,博士班,23,1,1,0,1,1,0
,101,1,公立,技專校院,22,國立臺灣科技大學,學士班(日間),5537,66,47,19,128,95,33
,101,1,公立,技專校院,22,國立臺灣科技大學,學士班(進修),68,6,2,4,13,5,8
,101,1,公立,技專校院,22,國立臺灣科技大學,碩士班(日間),3039,106,61,45,187,116,71
,101,1,公立,技專校院,22,國立臺灣科技大學,碩士在職專班,805,116,90,26,183,146,37
,101,1,公立,技專校院,22,國立臺灣科技大學,博士班,1058,155,108,47,258,199,59
,101,1,公立,技專校院,23,國立雲林科技大學,學士班(日間),6217,46,24,22,107,68,39
,101,1,公立,技專校院,23,國立雲林科技大學,碩士班(日間),2056,70,43,27,132,77,55
,101,1,公立,技專校院,23,國立雲林科技大學,碩士在職專班,782,53,36,17,110,71,39
,101,1,公立,技專校院,23,國立雲林科技大學,博士班,478,63,45,18,122,89,33
,101,1,公立,技專校院,24,國立屏東科技大學,學士班(日間),7599,119,70,49,166,100,66
,101,1,公立,技專校院,24,國立屏東科技大學,學士班(進修),1410,60,32,28,54,31,23
,101,1,公立,技專校院,24,國立屏東科技大學,碩士班(日間),1697,194,106,88,234,129,105
,101,1,公立,技專校院,24,國立屏東科技大學,碩士在職專班,667,64,44,20,65,44,21
,101,1,公立,技專校院,24,國立屏東科技大學,博士班,209,35,27,8,53,40,13
,101,1,公立,技專校院,25,國立臺北科技大學,學士班(日間),5760,106,80,26,187,142,45
,101,1,公立,技專校院,25,國立臺北科技大學,學士班(進修),1126,52,36,16,75,51,24
,101,1,公立,技專校院,25,國立臺北科技大學,碩士班(日間),2535,130,87,43,168,114,54
,101,1,公立,技專校院,25,國立臺北科技大學,碩士在職專班,1112,172,133,39,218,172,46
,101,1,公立,技專校院,25,國立臺北科技大學,博士班,721,88,72,16,135,108,27
,101,1,公立,技專校院,26,國立高雄第一科技大學,學士班(日間),5392,78,46,32,115,69,46
,101,1,公立,技專校院,26,國立高雄第一科技大學,碩士班(日間),1217,60,24,36,111,51,60
,101,1,公立,技專校院,26,國立高雄第一科技大學,碩士在職專班,814,94,62,32,141,100,41
,101,1,公立,技專校院,26,國立高雄第一科技大學,博士班,220,36,23,13,45,28,17
,101,1,公立,技專校院,27,國立高雄應用科技大學,學士班(日間),7462,94,72,22,128,94,34
,101,1,公立,技專校院,27,國立高雄應用科技大學,學士班(進修),1733,93,71,22,126,93,33
,101,1,公立,技專校院,27,國立高雄應用科技大學,碩士班(日間),1345,74,53,21,96,68,28
,101,1,公立,技專校院,27,國立高雄應用科技大學,碩士在職專班,1301,161,131,30,226,180,46
,101,1,公立,技專校院,27,國立高雄應用科技大學,博士班,233,20,20,0,28,28,0
,101,1,公立,技專校院,33,國立虎尾科技大學,學士班(日間),7703,104,80,24,256,208,48
,101,1,公立,技專校院,33,國立虎尾科技大學,學士班(進修),1368,42,28,14,71,48,23
,101,1,公立,技專校院,33,國立虎尾科技大學,碩士班(日間),1069,47,41,6,121,105,16
,101,1,公立,技專校院,33,國立虎尾科技大學,碩士在職專班,428,36,26,10,35,25,10
,101,1,公立,技專校院,33,國立虎尾科技大學,博士班,27,4,4,0,8,8,0
,101,1,公立,技專校院,34,國立高雄海洋科技大學,五專,480,8,7,1,9,8,1
,101,1,公立,技專校院,34,國立高雄海洋科技大學,學士班(日間),4996,84,60,24,181,135,46
,101,1,公立,技專校院,34,國立高雄海洋科技大學,學士班(進修),1782,121,79,42,106,65,41
,101,1,公立,技專校院,34,國立高雄海洋科技大學,碩士班(日間),357,17,14,3,49,33,16
,101,1,公立,技專校院,34,國立高雄海洋科技大學,碩士在職專班,185,33,25,8,24,16,8
,101,1,公立,技專校院,42,國立澎湖科技大學,二專(進修),28,4,3,1,4,3,1
,101,1,公立,技專校院,42,國立澎湖科技大學,學士班(日間),2563,45,27,18,70,46,24
,101,1,公立,技專校院,42,國立澎湖科技大學,學士班(進修),316,20,14,6,26,20,6
,101,1,公立,技專校院,42,國立澎湖科技大學,碩士班(日間),98,12,6,6,17,10,7
,101,1,公立,技專校院,42,國立澎湖科技大學,碩士在職專班,36,3,2,1,3,2,1
,101,1,公立,技專校院,43,國立勤益科技大學,二專(日間),161,5,3,2,7,6,1
,101,1,公立,技專校院,43,國立勤益科技大學,二專(進修),28,13,12,1,17,16,1
,101,1,公立,技專校院,43,國立勤益科技大學,學士班(日間),6365,125,87,38,253,177,76
,101,1,公立,技專校院,43,國立勤益科技大學,學士班(進修),3143,126,107,19,144,123,21
,101,1,公立,技專校院,43,國立勤益科技大學,碩士班(日間),712,34,26,8,56,42,14
,101,1,公立,技專校院,43,國立勤益科技大學,碩士在職專班,227,28,22,6,43,33,10
,101,1,公立,技專校院,43,國立勤益科技大學,博士班,3,0,0,0,0,0,0
,101,1,公立,技專校院,46,國立臺北護理健康大學,學士班(日間),2769,39,9,30,88,17,71
,101,1,公立,技專校院,46,國立臺北護理健康大學,學士班(進修),639,38,0,38,78,1,77
,101,1,公立,技專校院,46,國立臺北護理健康大學,碩士班(日間),624,100,10,90,219,32,187
,101,1,公立,技專校院,46,國立臺北護理健康大學,碩士在職專班,162,16,1,15,33,5,28
,101,1,公立,技專校院,46,國立臺北護理健康大學,博士班,64,4,0,4,9,0,9
,101,1,公立,技專校院,47,國立高雄餐旅大學,五專,229,4,3,1,9,5,4
,101,1,公立,技專校院,47,國立高雄餐旅大學,學士班(日間),3140,50,15,35,93,32,61
,101,1,公立,技專校院,47,國立高雄餐旅大學,學士班(進修),1236,15,8,7,42,21,21
,101,1,公立,技專校院,47,國立高雄餐旅大學,碩士班(日間),198,22,12,10,44,17,27
,101,1,公立,技專校院,47,國立高雄餐旅大學,碩士在職專班,80,0,0,0,0,0,0
,101,1,公立,技專校院,47,國立高雄餐旅大學,博士班,8,0,0,0,0,0,0
,101,1,公立,技專校院,50,國立臺中科技大學,二專(日間),295,12,1,11,20,1,19
,101,1,公立,技專校院,50,國立臺中科技大學,二專(進修),171,25,3,22,27,3,24
,101,1,公立,技專校院,50,國立臺中科技大學,五專,3732,39,12,27,66,19,47
,101,1,公立,技專校院,50,國立臺中科技大學,學士班(日間),5644,70,26,44,151,59,92
,101,1,公立,技專校院,50,國立臺中科技大學,學士班(進修),2517,126,37,89,162,47,115
,101,1,公立,技專校院,50,國立臺中科技大學,碩士班(日間),365,21,12,9,44,24,20
,101,1,公立,技專校院,50,國立臺中科技大學,碩士在職專班,139,3,1,2,7,2,5
,101,1,公立,技專校院,136,國立屏東商業技術學院,學士班(日間),2969,41,14,27,76,28,48
,101,1,公立,技專校院,136,國立屏東商業技術學院,學士班(進修),832,39,18,21,84,35,49
,101,1,公立,技專校院,136,國立屏東商業技術學院,碩士班(日間),256,24,12,12,60,29,31
,101,1,公立,技專校院,136,國立屏東商業技術學院,碩士在職專班,24,1,1,0,4,2,2
,101,1,公立,技專校院,142,國立臺北商業技術學院,二專(進修),418,15,3,12,52,18,34
,101,1,公立,技專校院,142,國立臺北商業技術學院,五專,2038,64,21,43,60,20,40
,101,1,公立,技專校院,142,國立臺北商業技術學院,學士班(日間),2146,31,8,23,69,19,50
,101,1,公立,技專校院,142,國立臺北商業技術學院,學士班(進修),1804,48,15,33,78,31,47
,101,1,公立,技專校院,142,國立臺北商業技術學院,碩士班(日間),149,12,8,4,30,16,14
,101,1,公立,技專校院,142,國立臺北商業技術學院,碩士在職專班,29,3,2,1,7,5,2
,101,1,公立,技專校院,144,國立臺灣戲曲學院,二專(日間),1,0,0,0,0,0,0
,101,1,公立,技專校院,144,國立臺灣戲曲學院,學士班(日間),492,15,4,11,35,16,19
,101,1,公立,技專校院,221,國立臺南護理專科學校,二專(日間),93,1,0,1,4,0,4
,101,1,公立,技專校院,221,國立臺南護理專科學校,二專(進修),98,3,1,2,12,3,9
,101,1,公立,技專校院,221,國立臺南護理專科學校,五專,1675,8,0,8,16,1,15
,101,1,公立,技專校院,222,國立臺東專科學校,二專(日間),431,12,10,2,36,27,9
,101,1,公立,技專校院,222,國立臺東專科學校,二專(進修),202,10,8,2,19,15,4
,101,1,公立,技專校院,222,國立臺東專科學校,五專,452,36,17,19,53,26,27
,101,1,私立,一般大學,1001,東海大學,學士班(日間),13578,246,146,100,514,309,205
,101,1,私立,一般大學,1001,東海大學,學士班(進修),834,70,40,30,233,151,82
,101,1,私立,一般大學,1001,東海大學,碩士班(日間),1790,124,62,62,369,192,177
,101,1,私立,一般大學,1001,東海大學,碩士在職專班,798,65,23,42,161,85,76
,101,1,私立,一般大學,1001,東海大學,博士班,240,21,15,6,64,41,23
,101,1,私立,一般大學,1002,輔仁大學,學士班(日間),17829,414,224,190,665,349,316
,101,1,私立,一般大學,1002,輔仁大學,學士班(進修),4722,245,95,150,446,184,262
,101,1,私立,一般大學,1002,輔仁大學,碩士班(日間),2225,286,105,181,649,277,372
,101,1,私立,一般大學,1002,輔仁大學,碩士在職專班,1563,103,43,60,364,178,186
,101,1,私立,一般大學,1002,輔仁大學,博士班,417,55,27,28,153,79,74
,101,1,私立,一般大學,1003,東吳大學,學士班(日間),11793,280,135,145,380,190,190
,101,1,私立,一般大學,1003,東吳大學,學士班(進修),1351,104,43,61,169,67,102
,101,1,私立,一般大學,1003,東吳大學,碩士班(日間),1261,192,98,94,271,141,130
,101,1,私立,一般大學,1003,東吳大學,碩士在職專班,1187,137,62,75,234,101,133
,101,1,私立,一般大學,1003,東吳大學,博士班,92,7,3,4,14,9,5
,101,1,私立,一般大學,1004,中原大學,學士班(日間),12582,214,153,61,414,301,113
,101,1,私立,一般大學,1004,中原大學,學士班(進修),6,0,0,0,7,6,1
,101,1,私立,一般大學,1004,中原大學,碩士班(日間),2004,110,66,44,301,186,115
,101,1,私立,一般大學,1004,中原大學,碩士在職專班,1284,73,47,26,261,171,90
,101,1,私立,一般大學,1004,中原大學,博士班,387,16,14,2,81,65,16
,101,1,私立,一般大學,1005,淡江大學,學士班(日間),21025,418,255,163,850,534,316
,101,1,私立,一般大學,1005,淡江大學,學士班(進修),2742,131,67,64,331,155,176
,101,1,私立,一般大學,1005,淡江大學,碩士班(日間),2473,144,74,70,402,216,186
,101,1,私立,一般大學,1005,淡江大學,碩士在職專班,1340,89,48,41,242,126,116
,101,1,私立,一般大學,1005,淡江大學,博士班,533,65,48,17,146,101,45
,101,1,私立,一般大學,1006,中國文化大學,學士班(日間),20488,376,222,154,634,379,255
,101,1,私立,一般大學,1006,中國文化大學,學士班(進修),2783,254,112,142,616,291,325
,101,1,私立,一般大學,1006,中國文化大學,碩士班(日間),2016,138,74,64,356,206,150
,101,1,私立,一般大學,1006,中國文化大學,碩士在職專班,658,74,28,46,177,88,89
,101,1,私立,一般大學,1006,中國文化大學,博士班,523,41,26,15,98,59,39
,101,1,私立,一般大學,1007,逢甲大學,學士班(日間),16460,344,264,80,416,320,96
,101,1,私立,一般大學,1007,逢甲大學,學士班(進修),849,86,45,41,116,62,54
,101,1,私立,一般大學,1007,逢甲大學,碩士班(日間),1847,131,89,42,174,117,57
,101,1,私立,一般大學,1007,逢甲大學,碩士在職專班,1217,126,84,42,179,121,58
,101,1,私立,一般大學,1007,逢甲大學,博士班,411,61,47,14,92,67,25
,101,1,私立,一般大學,1008,靜宜大學,學士班(日間),11083,238,122,116,377,204,173
,101,1,私立,一般大學,1008,靜宜大學,學士班(進修),153,9,6,3,13,9,4
,101,1,私立,一般大學,1008,靜宜大學,碩士班(日間),733,72,33,39,119,57,62
,101,1,私立,一般大學,1008,靜宜大學,碩士在職專班,322,22,9,13,44,21,23
,101,1,私立,一般大學,1008,靜宜大學,博士班,38,1,0,1,3,2,1
,101,1,私立,一般大學,1009,長庚大學,學士班(日間),5054,120,68,52,161,77,84
,101,1,私立,一般大學,1009,長庚大學,碩士班(日間),1452,80,35,45,195,89,106
,101,1,私立,一般大學,1009,長庚大學,碩士在職專班,457,41,26,15,103,68,35
,101,1,私立,一般大學,1009,長庚大學,博士班,543,34,20,14,74,43,31
,101,1,私立,一般大學,1010,元智大學,學士班(日間),7073,65,40,25,108,71,37
,101,1,私立,一般大學,1010,元智大學,學士班(進修),2,0,0,0,0,0,0
,101,1,私立,一般大學,1010,元智大學,碩士班(日間),1332,44,27,17,100,64,36
,101,1,私立,一般大學,1010,元智大學,碩士在職專班,1161,57,41,16,181,133,48
,101,1,私立,一般大學,1010,元智大學,博士班,341,21,17,4,67,50,17
,101,1,私立,一般大學,1011,中華大學,學士班(日間),6871,157,114,43,286,214,72
,101,1,私立,一般大學,1011,中華大學,學士班(進修),452,29,22,7,37,27,10
,101,1,私立,一般大學,1011,中華大學,碩士班(日間),794,47,38,9,126,104,22
,101,1,私立,一般大學,1011,中華大學,碩士在職專班,352,16,13,3,59,53,6
,101,1,私立,一般大學,1011,中華大學,博士班,145,21,14,7,51,38,13
,101,1,私立,一般大學,1012,大葉大學,學士班(日間),7465,179,104,75,270,181,89
,101,1,私立,一般大學,1012,大葉大學,學士班(進修),745,36,28,8,53,40,13
,101,1,私立,一般大學,1012,大葉大學,碩士班(日間),966,39,29,10,85,62,23
,101,1,私立,一般大學,1012,大葉大學,碩士在職專班,928,32,15,17,59,32,27
,101,1,私立,一般大學,1012,大葉大學,博士班,159,14,9,5,33,25,8
,101,1,私立,一般大學,1013,華梵大學,學士班(日間),2918,136,82,54,208,127,81
,101,1,私立,一般大學,1013,華梵大學,碩士班(日間),393,62,44,18,109,75,34
,101,1,私立,一般大學,1013,華梵大學,碩士在職專班,447,51,32,19,116,85,31
,101,1,私立,一般大學,1013,華梵大學,博士班,49,12,8,4,19,13,6
