,學年度,學期,設立別 ,學校類別,學校代碼,學校名稱,學制,學生總人數,學生學期內退學人數,男,女
,101,2,公立,一般大學,1,國立政治大學,碩士班(日間),3596,97,56,41
,101,2,公立,一般大學,1,國立政治大學,碩士在職專班,1636,42,26,16
,101,2,公立,一般大學,1,國立政治大學,博士班,1014,35,23,12
,101,2,公立,一般大學,2,國立清華大學,學士班(日間),6325,31,28,3
,101,2,公立,一般大學,2,國立清華大學,碩士班(日間),3804,29,13,16
,101,2,公立,一般大學,2,國立清華大學,碩士在職專班,291,9,7,2
,101,2,公立,一般大學,2,國立清華大學,博士班,2028,66,55,11
,101,2,公立,一般大學,3,國立臺灣大學,學士班(日間),16915,89,63,26
,101,2,公立,一般大學,3,國立臺灣大學,學士班(進修),29,3,1,2
,101,2,公立,一般大學,3,國立臺灣大學,碩士班(日間),9741,125,76,49
,101,2,公立,一般大學,3,國立臺灣大學,碩士在職專班,1119,20,18,2
,101,2,公立,一般大學,3,國立臺灣大學,博士班,4889,126,96,30
,101,2,公立,一般大學,4,國立臺灣師範大學,學士班(日間),7768,36,26,10
,101,2,公立,一般大學,4,國立臺灣師範大學,碩士班(日間),4115,104,53,51
,101,2,公立,一般大學,4,國立臺灣師範大學,碩士在職專班,2037,82,28,54
,101,2,公立,一般大學,4,國立臺灣師範大學,博士班,1387,33,25,8
,101,2,公立,一般大學,5,國立成功大學,學士班(日間),11688,98,75,23
,101,2,公立,一般大學,5,國立成功大學,學士班(進修),2,1,1,0
,101,2,公立,一般大學,5,國立成功大學,碩士班(日間),6404,89,57,32
,101,2,公立,一般大學,5,國立成功大學,碩士在職專班,1303,57,50,7
,101,2,公立,一般大學,5,國立成功大學,博士班,3020,150,117,33
,101,2,公立,一般大學,6,國立中興大學,學士班(日間),8321,55,42,13
,101,2,公立,一般大學,6,國立中興大學,學士班(進修),1145,44,23,21
,101,2,公立,一般大學,6,國立中興大學,碩士班(日間),3419,61,41,20
,101,2,公立,一般大學,6,國立中興大學,碩士在職專班,1845,19,18,1
,101,2,公立,一般大學,6,國立中興大學,博士班,1400,38,35,3
,101,2,公立,一般大學,7,國立交通大學,學士班(日間),5527,44,40,4
,101,2,公立,一般大學,7,國立交通大學,碩士班(日間),5096,48,27,21
,101,2,公立,一般大學,7,國立交通大學,碩士在職專班,1817,76,63,13
,101,2,公立,一般大學,7,國立交通大學,博士班,2184,87,72,15
,101,2,公立,一般大學,8,國立中央大學,學士班(日間),6168,56,49,7
,101,2,公立,一般大學,8,國立中央大學,碩士班(日間),3308,55,28,27
,101,2,公立,一般大學,8,國立中央大學,碩士在職專班,1424,54,39,15
,101,2,公立,一般大學,8,國立中央大學,博士班,1362,54,37,17
,101,2,公立,一般大學,9,國立中山大學,學士班(日間),4628,39,33,6
,101,2,公立,一般大學,9,國立中山大學,碩士班(日間),2904,60,43,17
,101,2,公立,一般大學,9,國立中山大學,碩士在職專班,841,32,16,16
,101,2,公立,一般大學,9,國立中山大學,博士班,1041,42,32,10
,101,2,公立,一般大學,12,國立臺灣海洋大學,學士班(日間),5204,23,19,4
,101,2,公立,一般大學,12,國立臺灣海洋大學,學士班(進修),551,19,13,6
,101,2,公立,一般大學,12,國立臺灣海洋大學,碩士班(日間),1555,28,24,4
,101,2,公立,一般大學,12,國立臺灣海洋大學,碩士在職專班,624,19,13,6
,101,2,公立,一般大學,12,國立臺灣海洋大學,博士班,352,18,13,5
,101,2,公立,一般大學,13,國立中正大學,學士班(日間),6624,41,30,11
,101,2,公立,一般大學,13,國立中正大學,碩士班(日間),2990,35,17,18
,101,2,公立,一般大學,13,國立中正大學,碩士在職專班,1788,17,9,8
,101,2,公立,一般大學,13,國立中正大學,博士班,734,26,16,10
,101,2,公立,一般大學,14,國立高雄師範大學,學士班(日間),3370,21,15,6
,101,2,公立,一般大學,14,國立高雄師範大學,碩士班(日間),1393,34,17,17
,101,2,公立,一般大學,14,國立高雄師範大學,碩士在職專班,1590,40,13,27
,101,2,公立,一般大學,14,國立高雄師範大學,博士班,470,5,1,4
,101,2,公立,一般大學,15,國立彰化師範大學,學士班(日間),4747,30,23,7
,101,2,公立,一般大學,15,國立彰化師範大學,碩士班(日間),1618,34,10,24
,101,2,公立,一般大學,15,國立彰化師範大學,碩士在職專班,1477,13,7,6
,101,2,公立,一般大學,15,國立彰化師範大學,博士班,439,6,5,1
,101,2,公立,一般大學,16,國立陽明大學,學士班(日間),2051,6,3,3
,101,2,公立,一般大學,16,國立陽明大學,碩士班(日間),1324,33,17,16
,101,2,公立,一般大學,16,國立陽明大學,碩士在職專班,125,8,4,4
,101,2,公立,一般大學,16,國立陽明大學,博士班,1079,24,12,12
,101,2,公立,一般大學,17,國立臺北大學,學士班(日間),5618,35,22,13
,101,2,公立,一般大學,17,國立臺北大學,學士班(進修),2260,48,32,16
,101,2,公立,一般大學,17,國立臺北大學,碩士班(日間),1359,34,15,19
,101,2,公立,一般大學,17,國立臺北大學,碩士在職專班,469,7,6,1
,101,2,公立,一般大學,17,國立臺北大學,博士班,173,2,2,0
,101,2,公立,一般大學,18,國立嘉義大學,學士班(日間),7768,45,35,10
,101,2,公立,一般大學,18,國立嘉義大學,學士班(進修),2219,72,48,24
,101,2,公立,一般大學,18,國立嘉義大學,碩士班(日間),1768,46,25,21
,101,2,公立,一般大學,18,國立嘉義大學,碩士在職專班,1070,32,18,14
,101,2,公立,一般大學,18,國立嘉義大學,博士班,208,2,2,0
,101,2,公立,一般大學,19,國立高雄大學,學士班(日間),4167,35,28,7
,101,2,公立,一般大學,19,國立高雄大學,學士班(進修),220,10,6,4
,101,2,公立,一般大學,19,國立高雄大學,碩士班(日間),646,16,11,5
,101,2,公立,一般大學,19,國立高雄大學,碩士在職專班,513,15,10,5
,101,2,公立,一般大學,19,國立高雄大學,博士班,13,1,0,1
,101,2,公立,一般大學,20,國立東華大學,學士班(日間),6970,69,52,17
,101,2,公立,一般大學,20,國立東華大學,學士班(進修),6,1,1,0
,101,2,公立,一般大學,20,國立東華大學,碩士班(日間),2389,74,44,30
,101,2,公立,一般大學,20,國立東華大學,碩士在職專班,619,28,16,12
,101,2,公立,一般大學,20,國立東華大學,博士班,372,11,5,6
,101,2,公立,一般大學,21,國立暨南國際大學,學士班(日間),3934,71,45,26
,101,2,公立,一般大學,21,國立暨南國際大學,學士班(進修),3,1,0,1
,101,2,公立,一般大學,21,國立暨南國際大學,碩士班(日間),1247,31,22,9
,101,2,公立,一般大學,21,國立暨南國際大學,碩士在職專班,338,9,5,4
,101,2,公立,一般大學,21,國立暨南國際大學,博士班,316,14,12,2
,101,2,公立,一般大學,28,國立臺北藝術大學,五專,87,0,0,0
,101,2,公立,一般大學,28,國立臺北藝術大學,學士班(日間),1481,10,7,3
,101,2,公立,一般大學,28,國立臺北藝術大學,碩士班(日間),932,20,10,10
,101,2,公立,一般大學,28,國立臺北藝術大學,碩士在職專班,140,5,0,5
,101,2,公立,一般大學,28,國立臺北藝術大學,博士班,51,2,1,1
,101,2,公立,一般大學,29,國立臺灣藝術大學,學士班(日間),2266,17,11,6
,101,2,公立,一般大學,29,國立臺灣藝術大學,學士班(進修),1895,24,11,13
,101,2,公立,一般大學,29,國立臺灣藝術大學,碩士班(日間),758,23,12,11
,101,2,公立,一般大學,29,國立臺灣藝術大學,碩士在職專班,402,10,5,5
,101,2,公立,一般大學,29,國立臺灣藝術大學,博士班,54,0,0,0
,101,2,公立,一般大學,30,國立臺東大學,學士班(日間),3433,14,10,4
,101,2,公立,一般大學,30,國立臺東大學,學士班(進修),178,3,2,1
,101,2,公立,一般大學,30,國立臺東大學,碩士班(日間),338,6,2,4
,101,2,公立,一般大學,30,國立臺東大學,碩士在職專班,848,22,7,15
,101,2,公立,一般大學,30,國立臺東大學,博士班,42,1,1,0
,101,2,公立,一般大學,31,國立宜蘭大學,學士班(日間),4170,73,61,12
,101,2,公立,一般大學,31,國立宜蘭大學,學士班(進修),653,49,40,9
,101,2,公立,一般大學,31,國立宜蘭大學,碩士班(日間),558,12,8,4
,101,2,公立,一般大學,31,國立宜蘭大學,碩士在職專班,171,0,0,0
,101,2,公立,一般大學,31,國立宜蘭大學,博士班,12,0,0,0
,101,2,公立,一般大學,32,國立聯合大學,學士班(日間),6143,62,54,8
,101,2,公立,一般大學,32,國立聯合大學,學士班(進修),1454,81,49,32
,101,2,公立,一般大學,32,國立聯合大學,碩士班(日間),449,9,8,1
,101,2,公立,一般大學,32,國立聯合大學,博士班,9,0,0,0
,101,2,公立,一般大學,35,國立臺南藝術大學,五專,158,1,1,0
,101,2,公立,一般大學,35,國立臺南藝術大學,學士班(日間),724,6,0,6
,101,2,公立,一般大學,35,國立臺南藝術大學,學士班(進修),40,1,0,1
,101,2,公立,一般大學,35,國立臺南藝術大學,碩士班(日間),566,15,5,10
,101,2,公立,一般大學,35,國立臺南藝術大學,碩士在職專班,50,4,1,3
,101,2,公立,一般大學,35,國立臺南藝術大學,博士班,38,2,1,1
,101,2,公立,一般大學,36,國立臺南大學,學士班(日間),3865,25,16,9
,101,2,公立,一般大學,36,國立臺南大學,學士班(進修),431,14,12,2
,101,2,公立,一般大學,36,國立臺南大學,碩士班(日間),1162,22,10,12
,101,2,公立,一般大學,36,國立臺南大學,碩士在職專班,805,19,8,11
,101,2,公立,一般大學,36,國立臺南大學,博士班,174,2,1,1
,101,2,公立,一般大學,37,國立臺北教育大學,學士班(日間),3173,14,9,5
,101,2,公立,一般大學,37,國立臺北教育大學,碩士班(日間),1138,18,7,11
,101,2,公立,一般大學,37,國立臺北教育大學,碩士在職專班,1210,27,15,12
,101,2,公立,一般大學,37,國立臺北教育大學,博士班,139,2,2,0
,101,2,公立,一般大學,38,國立新竹教育大學,學士班(日間),2499,18,12,6
,101,2,公立,一般大學,38,國立新竹教育大學,碩士班(日間),763,15,7,8
,101,2,公立,一般大學,38,國立新竹教育大學,碩士在職專班,613,25,9,16
,101,2,公立,一般大學,38,國立新竹教育大學,博士班,72,0,0,0
,101,2,公立,一般大學,39,國立臺中教育大學,學士班(日間),3330,21,12,9
,101,2,公立,一般大學,39,國立臺中教育大學,碩士班(日間),816,12,10,2
,101,2,公立,一般大學,39,國立臺中教育大學,碩士在職專班,701,9,4,5
,101,2,公立,一般大學,39,國立臺中教育大學,博士班,117,1,1,0
,101,2,公立,一般大學,40,國立屏東教育大學,學士班(日間),3229,16,10,6
,101,2,公立,一般大學,40,國立屏東教育大學,碩士班(日間),790,19,9,10
,101,2,公立,一般大學,40,國立屏東教育大學,碩士在職專班,672,18,5,13
,101,2,公立,一般大學,40,國立屏東教育大學,博士班,56,0,0,0
,101,2,公立,一般大學,44,國立體育大學,學士班(日間),1476,21,16,5
,101,2,公立,一般大學,44,國立體育大學,學士班(進修),93,3,2,1
,101,2,公立,一般大學,44,國立體育大學,碩士班(日間),365,13,5,8
,101,2,公立,一般大學,44,國立體育大學,碩士在職專班,214,6,4,2
,101,2,公立,一般大學,44,國立體育大學,博士班,130,2,2,0
,101,2,公立,一般大學,48,國立金門大學,學士班(日間),2654,48,31,17
,101,2,公立,一般大學,48,國立金門大學,學士班(進修),818,35,24,11
,101,2,公立,一般大學,48,國立金門大學,碩士班(日間),226,7,5,2
,101,2,公立,一般大學,49,國立臺灣體育運動大學,學士班(日間),2449,49,35,14
,101,2,公立,一般大學,49,國立臺灣體育運動大學,學士班(進修),402,15,12,3
,101,2,公立,一般大學,49,國立臺灣體育運動大學,碩士班(日間),257,7,4,3
,101,2,公立,一般大學,49,國立臺灣體育運動大學,碩士在職專班,92,2,2,0
,101,2,公立,一般大學,3001,臺北市立教育大學,學士班(日間),2888,28,16,12
,101,2,公立,一般大學,3001,臺北市立教育大學,碩士班(日間),860,29,8,21
,101,2,公立,一般大學,3001,臺北市立教育大學,碩士在職專班,847,9,4,5
,101,2,公立,一般大學,3001,臺北市立教育大學,博士班,205,2,1,1
,101,2,公立,一般大學,3102,臺北市立體育學院,學士班(日間),1866,44,35,9
,101,2,公立,一般大學,3102,臺北市立體育學院,碩士班(日間),281,14,11,3
,101,2,公立,一般大學,3102,臺北市立體育學院,碩士在職專班,143,5,3,2
,101,2,公立,一般大學,3102,臺北市立體育學院,博士班,23,0,0,0
,101,2,公立,技專校院,22,國立臺灣科技大學,學士班(日間),5537,34,27,7
,101,2,公立,技專校院,22,國立臺灣科技大學,學士班(進修),68,3,1,2
,101,2,公立,技專校院,22,國立臺灣科技大學,碩士班(日間),3039,36,28,8
,101,2,公立,技專校院,22,國立臺灣科技大學,碩士在職專班,805,23,18,5
,101,2,公立,技專校院,22,國立臺灣科技大學,博士班,1058,33,27,6
,101,2,公立,技專校院,23,國立雲林科技大學,學士班(日間),6217,102,66,36
,101,2,公立,技專校院,23,國立雲林科技大學,碩士班(日間),2056,76,45,31
,101,2,公立,技專校院,23,國立雲林科技大學,碩士在職專班,782,35,19,16
,101,2,公立,技專校院,23,國立雲林科技大學,博士班,478,33,21,12
,101,2,公立,技專校院,24,國立屏東科技大學,學士班(日間),7599,79,56,23
,101,2,公立,技專校院,24,國立屏東科技大學,學士班(進修),1410,43,26,17
,101,2,公立,技專校院,24,國立屏東科技大學,碩士班(日間),1697,44,31,13
,101,2,公立,技專校院,24,國立屏東科技大學,碩士在職專班,667,33,23,10
,101,2,公立,技專校院,24,國立屏東科技大學,博士班,209,4,4,0
,101,2,公立,技專校院,25,國立臺北科技大學,學士班(日間),5760,62,48,14
,101,2,公立,技專校院,25,國立臺北科技大學,學士班(進修),1126,36,22,14
,101,2,公立,技專校院,25,國立臺北科技大學,碩士班(日間),2535,21,15,6
,101,2,公立,技專校院,25,國立臺北科技大學,碩士在職專班,1112,42,36,6
,101,2,公立,技專校院,25,國立臺北科技大學,博士班,721,24,19,5
,101,2,公立,技專校院,26,國立高雄第一科技大學,學士班(日間),5392,55,35,20
,101,2,公立,技專校院,26,國立高雄第一科技大學,碩士班(日間),1217,24,14,10
,101,2,公立,技專校院,26,國立高雄第一科技大學,碩士在職專班,814,41,32,9
,101,2,公立,技專校院,26,國立高雄第一科技大學,博士班,220,11,10,1
,101,2,公立,技專校院,27,國立高雄應用科技大學,學士班(日間),7462,59,45,14
,101,2,公立,技專校院,27,國立高雄應用科技大學,學士班(進修),1733,41,28,13
,101,2,公立,技專校院,27,國立高雄應用科技大學,碩士班(日間),1345,20,13,7
,101,2,公立,技專校院,27,國立高雄應用科技大學,碩士在職專班,1301,22,21,1
,101,2,公立,技專校院,27,國立高雄應用科技大學,博士班,233,7,6,1
,101,2,公立,技專校院,33,國立虎尾科技大學,學士班(日間),7703,89,81,8
,101,2,公立,技專校院,33,國立虎尾科技大學,學士班(進修),1368,36,26,10
,101,2,公立,技專校院,33,國立虎尾科技大學,碩士班(日間),1069,27,25,2
,101,2,公立,技專校院,33,國立虎尾科技大學,碩士在職專班,428,14,9,5
,101,2,公立,技專校院,33,國立虎尾科技大學,博士班,27,0,0,0
,101,2,公立,技專校院,34,國立高雄海洋科技大學,五專,480,4,2,2
,101,2,公立,技專校院,34,國立高雄海洋科技大學,學士班(日間),4996,67,55,12
,101,2,公立,技專校院,34,國立高雄海洋科技大學,學士班(進修),1782,57,37,20
,101,2,公立,技專校院,34,國立高雄海洋科技大學,碩士班(日間),357,18,10,8
,101,2,公立,技專校院,34,國立高雄海洋科技大學,碩士在職專班,185,2,2,0
,101,2,公立,技專校院,42,國立澎湖科技大學,二專(進修),28,0,0,0
,101,2,公立,技專校院,42,國立澎湖科技大學,學士班(日間),2563,37,24,13
,101,2,公立,技專校院,42,國立澎湖科技大學,學士班(進修),316,17,13,4
,101,2,公立,技專校院,42,國立澎湖科技大學,碩士班(日間),98,10,8,2
,101,2,公立,技專校院,42,國立澎湖科技大學,碩士在職專班,36,0,0,0
,101,2,公立,技專校院,43,國立勤益科技大學,二專(日間),161,7,7,0
,101,2,公立,技專校院,43,國立勤益科技大學,二專(進修),28,4,4,0
,101,2,公立,技專校院,43,國立勤益科技大學,學士班(日間),6365,62,48,14
,101,2,公立,技專校院,43,國立勤益科技大學,學士班(進修),3143,77,63,14
,101,2,公立,技專校院,43,國立勤益科技大學,碩士班(日間),712,11,10,1
,101,2,公立,技專校院,43,國立勤益科技大學,碩士在職專班,227,10,9,1
,101,2,公立,技專校院,43,國立勤益科技大學,博士班,3,0,0,0
,101,2,公立,技專校院,46,國立臺北護理健康大學,學士班(日間),2769,14,3,11
,101,2,公立,技專校院,46,國立臺北護理健康大學,學士班(進修),639,7,1,6
,101,2,公立,技專校院,46,國立臺北護理健康大學,碩士班(日間),624,15,4,11
,101,2,公立,技專校院,46,國立臺北護理健康大學,碩士在職專班,162,3,1,2
,101,2,公立,技專校院,46,國立臺北護理健康大學,博士班,64,0,0,0
,101,2,公立,技專校院,47,國立高雄餐旅大學,二專(進修),0,2,0,2
,101,2,公立,技專校院,47,國立高雄餐旅大學,五專,229,0,0,0
,101,2,公立,技專校院,47,國立高雄餐旅大學,學士班(日間),3140,13,2,11
,101,2,公立,技專校院,47,國立高雄餐旅大學,學士班(進修),1236,4,2,2
,101,2,公立,技專校院,47,國立高雄餐旅大學,碩士班(日間),198,2,2,0
,101,2,公立,技專校院,47,國立高雄餐旅大學,碩士在職專班,80,2,2,0
,101,2,公立,技專校院,47,國立高雄餐旅大學,博士班,8,0,0,0
,101,2,公立,技專校院,50,國立臺中科技大學,二專(日間),295,6,1,5
,101,2,公立,技專校院,50,國立臺中科技大學,二專(進修),171,8,2,6
,101,2,公立,技專校院,50,國立臺中科技大學,五專,3732,26,7,19
,101,2,公立,技專校院,50,國立臺中科技大學,學士班(日間),5644,48,19,29
,101,2,公立,技專校院,50,國立臺中科技大學,學士班(進修),2517,59,22,37
,101,2,公立,技專校院,50,國立臺中科技大學,碩士班(日間),365,9,4,5
,101,2,公立,技專校院,50,國立臺中科技大學,碩士在職專班,139,2,2,0
,101,2,公立,技專校院,136,國立屏東商業技術學院,學士班(日間),2969,14,4,10
,101,2,公立,技專校院,136,國立屏東商業技術學院,學士班(進修),832,51,28,23
,101,2,公立,技專校院,136,國立屏東商業技術學院,碩士班(日間),256,6,3,3
,101,2,公立,技專校院,136,國立屏東商業技術學院,碩士在職專班,24,0,0,0
,101,2,公立,技專校院,142,國立臺北商業技術學院,二專(進修),418,23,11,12
,101,2,公立,技專校院,142,國立臺北商業技術學院,五專,2038,18,9,9
,101,2,公立,技專校院,142,國立臺北商業技術學院,學士班(日間),2146,14,5,9
,101,2,公立,技專校院,142,國立臺北商業技術學院,學士班(進修),1804,34,17,17
,101,2,公立,技專校院,142,國立臺北商業技術學院,碩士班(日間),149,0,0,0
,101,2,公立,技專校院,142,國立臺北商業技術學院,碩士在職專班,29,2,1,1
,101,2,公立,技專校院,144,國立臺灣戲曲學院,二專(日間),1,0,0,0
,101,2,公立,技專校院,144,國立臺灣戲曲學院,學士班(日間),492,14,7,7
,101,2,公立,技專校院,221,國立臺南護理專科學校,二專(日間),93,1,0,1
,101,2,公立,技專校院,221,國立臺南護理專科學校,二專(進修),98,4,2,2
,101,2,公立,技專校院,221,國立臺南護理專科學校,五專,1675,5,0,5
,101,2,公立,技專校院,222,國立臺東專科學校,二專(日間),431,77,47,30
,101,2,公立,技專校院,222,國立臺東專科學校,二專(進修),202,16,12,4
,101,2,公立,技專校院,222,國立臺東專科學校,五專,452,11,8,3
,101,2,私立,一般大學,1001,東海大學,學士班(日間),13578,229,165,64
,101,2,私立,一般大學,1001,東海大學,學士班(進修),834,49,36,13
,101,2,私立,一般大學,1001,東海大學,碩士班(日間),1790,68,33,35
,101,2,私立,一般大學,1001,東海大學,碩士在職專班,798,30,21,9
,101,2,私立,一般大學,1001,東海大學,博士班,240,7,7,0
,101,2,私立,一般大學,1002,輔仁大學,學士班(日間),17829,244,160,84
,101,2,私立,一般大學,1002,輔仁大學,學士班(進修),4722,213,98,115
,101,2,私立,一般大學,1002,輔仁大學,碩士班(日間),2225,95,46,49
,101,2,私立,一般大學,1002,輔仁大學,碩士在職專班,1563,71,43,28
,101,2,私立,一般大學,1002,輔仁大學,博士班,417,5,3,2
,101,2,私立,一般大學,1003,東吳大學,學士班(日間),11793,146,94,52
,101,2,私立,一般大學,1003,東吳大學,學士班(進修),1351,50,16,34
,101,2,私立,一般大學,1003,東吳大學,碩士班(日間),1261,45,23,22
,101,2,私立,一般大學,1003,東吳大學,碩士在職專班,1187,36,20,16
,101,2,私立,一般大學,1003,東吳大學,博士班,92,4,4,0
,101,2,私立,一般大學,1004,中原大學,學士班(日間),12582,298,252,46
,101,2,私立,一般大學,1004,中原大學,學士班(進修),6,1,1,0
,101,2,私立,一般大學,1004,中原大學,碩士班(日間),2004,49,33,16
,101,2,私立,一般大學,1004,中原大學,碩士在職專班,1284,71,54,17
,101,2,私立,一般大學,1004,中原大學,博士班,387,14,12,2
,101,2,私立,一般大學,1005,淡江大學,學士班(日間),21025,397,312,85
,101,2,私立,一般大學,1005,淡江大學,學士班(進修),2742,140,81,59
,101,2,私立,一般大學,1005,淡江大學,碩士班(日間),2473,63,35,28
,101,2,私立,一般大學,1005,淡江大學,碩士在職專班,1340,30,16,14
,101,2,私立,一般大學,1005,淡江大學,博士班,533,12,9,3
,101,2,私立,一般大學,1006,中國文化大學,學士班(日間),20488,507,346,161
,101,2,私立,一般大學,1006,中國文化大學,學士班(進修),2783,195,94,101
,101,2,私立,一般大學,1006,中國文化大學,碩士班(日間),2016,93,62,31
,101,2,私立,一般大學,1006,中國文化大學,碩士在職專班,658,34,23,11
,101,2,私立,一般大學,1006,中國文化大學,博士班,523,21,11,10
,101,2,私立,一般大學,1007,逢甲大學,學士班(日間),16460,335,285,50
,101,2,私立,一般大學,1007,逢甲大學,學士班(進修),849,63,37,26
,101,2,私立,一般大學,1007,逢甲大學,碩士班(日間),1847,47,32,15
,101,2,私立,一般大學,1007,逢甲大學,碩士在職專班,1217,61,48,13
,101,2,私立,一般大學,1007,逢甲大學,博士班,411,15,12,3
,101,2,私立,一般大學,1008,靜宜大學,學士班(日間),11083,247,159,88
,101,2,私立,一般大學,1008,靜宜大學,學士班(進修),153,12,3,9
,101,2,私立,一般大學,1008,靜宜大學,碩士班(日間),733,22,11,11
,101,2,私立,一般大學,1008,靜宜大學,碩士在職專班,322,5,3,2
,101,2,私立,一般大學,1008,靜宜大學,博士班,38,1,1,0
,101,2,私立,一般大學,1009,長庚大學,學士班(日間),5054,84,46,38
,101,2,私立,一般大學,1009,長庚大學,碩士班(日間),1452,49,29,20
,101,2,私立,一般大學,1009,長庚大學,碩士在職專班,457,22,16,6
,101,2,私立,一般大學,1009,長庚大學,博士班,543,17,14,3
,101,2,私立,一般大學,1010,元智大學,學士班(日間),7073,98,69,29
,101,2,私立,一般大學,1010,元智大學,學士班(進修),2,0,0,0
,101,2,私立,一般大學,1010,元智大學,碩士班(日間),1332,19,13,6
,101,2,私立,一般大學,1010,元智大學,碩士在職專班,1161,102,79,23
,101,2,私立,一般大學,1010,元智大學,博士班,341,18,16,2
,101,2,私立,一般大學,1011,中華大學,學士班(日間),6871,248,195,53
,101,2,私立,一般大學,1011,中華大學,學士班(進修),452,35,23,12
,101,2,私立,一般大學,1011,中華大學,碩士班(日間),794,38,32,6
,101,2,私立,一般大學,1011,中華大學,碩士在職專班,352,14,13,1
,101,2,私立,一般大學,1011,中華大學,博士班,145,8,6,2
,101,2,私立,一般大學,1012,大葉大學,學士班(日間),7465,121,73,48
,101,2,私立,一般大學,1012,大葉大學,學士班(進修),745,40,27,13
,101,2,私立,一般大學,1012,大葉大學,碩士班(日間),966,19,14,5
,101,2,私立,一般大學,1012,大葉大學,碩士在職專班,928,7,4,3
,101,2,私立,一般大學,1012,大葉大學,博士班,159,1,1,0
,101,2,私立,一般大學,1013,華梵大學,學士班(日間),2918,155,104,51
,101,2,私立,一般大學,1013,華梵大學,碩士班(日間),393,13,8,5
,101,2,私立,一般大學,1013,華梵大學,碩士在職專班,447,41,33,8
,101,2,私立,一般大學,1013,華梵大學,博士班,49,3,3,0
,101,2,私立,一般大學,1014,義守大學,學士班(日間),12009,226,162,64
,101,2,私立,一般大學,1014,義守大學,學士班(進修),2669,194,120,74
,101,2,私立,一般大學,1014,義守大學,碩士班(日間),714,23,22,1
,101,2,私立,一般大學,1014,義守大學,碩士在職專班,645,16,12,4
,101,2,私立,一般大學,1014,義守大學,博士班,127,7,3,4
,101,2,私立,一般大學,1015,世新大學,學士班(日間),9528,121,64,57
,101,2,私立,一般大學,1015,世新大學,學士班(進修),251,11,5,6
,101,2,私立,一般大學,1015,世新大學,碩士班(日間),844,40,19,21
,101,2,私立,一般大學,1015,世新大學,碩士在職專班,1124,47,30,17
,101,2,私立,一般大學,1015,世新大學,博士班,72,0,0,0
,101,2,私立,一般大學,1016,銘傳大學,學士班(日間),16902,238,157,81
,101,2,私立,一般大學,1016,銘傳大學,學士班(進修),29,0,0,0
,101,2,私立,一般大學,1016,銘傳大學,碩士班(日間),887,22,11,11
,101,2,私立,一般大學,1016,銘傳大學,碩士在職專班,923,11,6,5
,101,2,私立,一般大學,1016,銘傳大學,博士班,56,1,1,0
,101,2,私立,一般大學,1017,實踐大學,學士班(日間),12279,209,111,98
,101,2,私立,一般大學,1017,實踐大學,學士班(進修),2909,127,44,83
,101,2,私立,一般大學,1017,實踐大學,碩士班(日間),414,13,8,5
,101,2,私立,一般大學,1017,實踐大學,碩士在職專班,187,5,2,3
,101,2,私立,一般大學,1017,實踐大學,博士班,3,0,0,0
,101,2,私立,一般大學,1019,高雄醫學大學,學士班(日間),5589,171,85,86
,101,2,私立,一般大學,1019,高雄醫學大學,學士班(進修),187,5,0,5
,101,2,私立,一般大學,1019,高雄醫學大學,碩士班(日間),632,38,15,23
,101,2,私立,一般大學,1019,高雄醫學大學,碩士在職專班,183,11,5,6
,101,2,私立,一般大學,1019,高雄醫學大學,博士班,344,15,6,9
,101,2,私立,一般大學,1020,南華大學,學士班(日間),3511,98,59,39
,101,2,私立,一般大學,1020,南華大學,學士班(進修),176,6,2,4
,101,2,私立,一般大學,1020,南華大學,碩士班(日間),852,14,5,9
,101,2,私立,一般大學,1020,南華大學,碩士在職專班,590,19,14,5
,101,2,私立,一般大學,1020,南華大學,博士班,25,0,0,0
,101,2,私立,一般大學,1021,真理大學,學士班(日間),7936,251,147,104
,101,2,私立,一般大學,1021,真理大學,學士班(進修),1006,69,38,31
,101,2,私立,一般大學,1021,真理大學,碩士班(日間),166,12,6,6
,101,2,私立,一般大學,1021,真理大學,碩士在職專班,14,1,0,1
,101,2,私立,一般大學,1022,大同大學,學士班(日間),3694,119,99,20
,101,2,私立,一般大學,1022,大同大學,碩士班(日間),659,26,21,5
,101,2,私立,一般大學,1022,大同大學,碩士在職專班,564,20,18,2
,101,2,私立,一般大學,1022,大同大學,博士班,169,4,3,1
,101,2,私立,一般大學,1027,慈濟大學,學士班(日間),2809,28,12,16
,101,2,私立,一般大學,1027,慈濟大學,碩士班(日間),380,19,7,12
,101,2,私立,一般大學,1027,慈濟大學,碩士在職專班,44,1,0,1
,101,2,私立,一般大學,1027,慈濟大學,博士班,110,2,2,0
,101,2,私立,一般大學,1028,臺北醫學大學,學士班(日間),4507,17,8,9
,101,2,私立,一般大學,1028,臺北醫學大學,學士班(進修),324,5,1,4
,101,2,私立,一般大學,1028,臺北醫學大學,碩士班(日間),690,11,3,8
,101,2,私立,一般大學,1028,臺北醫學大學,碩士在職專班,227,3,0,3
,101,2,私立,一般大學,1028,臺北醫學大學,博士班,360,13,5,8
,101,2,私立,一般大學,1029,中山醫學大學,學士班(日間),6490,46,24,22
,101,2,私立,一般大學,1029,中山醫學大學,學士班(進修),349,17,11,6
,101,2,私立,一般大學,1029,中山醫學大學,碩士班(日間),528,14,5,9
